date,qoe_tk_per_kwh,c7_binding,consumer,substation,slot,action,value,private_tk_per_kwh,system_tk_per_kwh,discomfort_tk_per_kwh,margin,pi_i_t,kappa,lambda_h,y_max_h,at_cap,lambda_star,energy_kwh,clock,pi_off
2026-07-01,0.0,False,DHNC0126,Dhanmondi,27,curtail,0.46836311600475633,3.226930232949355,9.62808611082345,11.061048662513356,1.7939676812594492,8.39,1.147566878524845,0.28060262895211785,0.46836311600475633,True,0.2138514275283446,12.40191236692413,13:30,
2026-07-01,0.0,False,DHNC0126,Dhanmondi,32,curtail,0.46836311600475633,3.226930232949355,9.62808611082345,11.061048662513356,1.7939676812594492,8.39,1.147566878524845,0.28060262895211785,0.46836311600475633,True,0.2138514275283446,12.630027491331386,16:00,
2026-07-01,0.0,False,DHNC0126,Dhanmondi,33,curtail,0.46836311600475633,3.226930232949355,9.62808611082345,11.061048662513356,1.7939676812594492,8.39,1.147566878524845,0.28060262895211785,0.46836311600475633,True,0.2138514275283446,12.561449086049748,16:30,
2026-07-01,0.0,False,DHNC0126,Dhanmondi,34,curtail,0.46836311600475633,3.226930232949355,9.62808611082345,11.061048662513356,1.7939676812594492,8.39,1.147566878524845,0.28060262895211785,0.46836311600475633,True,0.2138514275283446,12.40191236692413,17:00,
2026-07-01,0.0,False,DHNC0126,Dhanmondi,35,curtail,0.46836311600475633,3.226930232949355,9.62808611082345,11.061048662513356,1.7939676812594492,8.39,1.147566878524845,0.28060262895211785,0.46836311600475633,True,0.2138514275283446,12.40191236692413,17:30,
2026-07-01,0.0,False,DHNC0126,Dhanmondi,37,curtail,0.46836311600475633,3.226930232949355,9.62808611082345,11.061048662513356,1.7939676812594492,8.39,1.147566878524845,0.28060262895211785,0.46836311600475633,True,0.2138514275283446,12.40191236692413,18:30,
2026-07-01,0.0,False,DHNC0126,Dhanmondi,39,curtail,0.46836311600475633,3.226930232949355,9.62808611082345,11.061048662513356,1.7939676812594492,8.39,1.147566878524845,0.28060262895211785,0.46836311600475633,True,0.2138514275283446,34.34581003694843,19:30,
2026-07-01,0.0,False,DHNC0126,Dhanmondi,40,curtail,0.46836311600475633,3.226930232949355,9.62808611082345,11.061048662513356,1.7939676812594492,8.39,1.147566878524845,0.28060262895211785,0.46836311600475633,True,0.2138514275283446,34.25348047819895,20:00,
2026-07-01,0.0,False,DHNC0126,Dhanmondi,41,curtail,0.46836311600475633,3.226930232949355,9.62808611082345,11.061048662513356,1.7939676812594492,8.39,1.147566878524845,0.28060262895211785,0.46836311600475633,True,0.2138514275283446,22.392728415100944,20:30,
2026-07-01,0.0,False,DHNC0126,Dhanmondi,42,curtail,0.46836311600475633,3.226930232949355,9.62808611082345,11.061048662513356,1.7939676812594492,8.39,1.147566878524845,0.28060262895211785,0.46836311600475633,True,0.2138514275283446,12.40191236692413,21:00,
2026-07-01,0.0,False,DHNC0126,Dhanmondi,43,curtail,0.46836311600475633,3.226930232949355,9.62808611082345,11.061048662513356,1.7939676812594492,8.39,1.147566878524845,0.28060262895211785,0.46836311600475633,True,0.2138514275283446,11.635074903849832,21:30,
2026-07-01,0.0,False,DHNC0126,Dhanmondi,45,curtail,0.46836311600475633,3.226930232949355,9.62808611082345,11.061048662513356,1.7939676812594492,8.39,1.147566878524845,0.28060262895211785,0.46836311600475633,True,0.2138514275283446,11.519402014185511,22:30,
