date,F_tk,F_Dhanmondi,F_Kalyanpur,G_id_kwh_Dhanmondi,B_id_kwh_Dhanmondi,T_ijd_kwh_Dhanmondi,f_cost_tk_Dhanmondi,f_rel_tk_Dhanmondi,f_wel_tk_Dhanmondi,G_id_kwh_Kalyanpur,B_id_kwh_Kalyanpur,T_ijd_kwh_Kalyanpur,f_cost_tk_Kalyanpur,f_rel_tk_Kalyanpur,f_wel_tk_Kalyanpur,varpi_Dhanmondi,varpi_Kalyanpur,soc_end_Dhanmondi,soc_end_Kalyanpur,kappa_Dhanmondi,kappa_Kalyanpur,kappa_refday_Dhanmondi,kappa_refday_Kalyanpur,scale_gmax_Dhanmondi,scale_gmax_Kalyanpur,scale_pmax_Dhanmondi,scale_pmax_Kalyanpur,g_max_kw_eff_Dhanmondi,g_max_kw_eff_Kalyanpur,p_max_kw_eff_Dhanmondi,p_max_kw_eff_Kalyanpur,max_c1_slack_kw,n_c7_binding,n_ir_binding
2026-06-30,59265408.035366714,30143095.993348088,29122312.042018622,2132319.3049264867,0.0,0.0,17890158.968333226,0.0,12252937.025014862,2035840.7759481596,0.0,0.0,17080704.11020506,0.0,12041607.931813562,0.0,0.0,8000.0,6000.0,1.1367510443265838,1.0440440804232594,1.067544182835452,1.0104250239859682,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,2.9103830456733704e-11,329,0
2026-07-01,60389043.64960535,31476836.580677725,28912207.068927623,2287496.6097778725,0.0,0.0,19192096.55603635,0.0,12284740.024641378,2013786.3692882606,0.0,0.0,16895667.638328508,0.0,12016539.430599116,0.0,0.0,8000.0,6000.0,1.2236247977945467,1.0327623182011803,1.147566878524845,0.9987712010205279,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,2.9103830456733704e-11,333,0
2026-07-02,59748084.24736887,31346231.231261462,28401853.01610741,2272817.7127726795,0.0,0.0,19068940.610162783,0.0,12277290.621098679,1956499.592748666,0.0,0.0,16415031.583161307,0.0,11986821.4329461,0.0,0.0,8000.0,6000.0,1.2164289699990856,1.0024354264456334,1.1402408711988377,0.9690610560929916,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,2.9103830456733704e-11,329,0
2026-07-03,55931914.8996555,27875186.395838216,28056728.503817283,1876363.115120171,0.0,0.0,15742686.535858236,0.0,12132499.859979982,1919552.9914177805,0.0,0.0,16105049.597995179,0.0,11951678.905822106,0.0,0.0,8000.0,6000.0,0.9988600017996484,0.9830398844404861,0.9349122634427213,0.9495683024698032,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,2.9103830456733704e-11,312,0
2026-07-04,58230494.053321674,29924279.78020123,28306214.27312044,2113223.6120142527,0.0,0.0,17729946.10479958,0.0,12194333.67540165,1947604.8332843264,0.0,0.0,16340404.5512555,0.0,11965809.72186494,0.0,0.0,8000.0,6000.0,1.129907885795111,0.9988914375192233,1.0570147614856198,0.9645857371212303,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,2.9103830456733704e-11,323,0
2026-07-05,60679870.45947386,32347155.65342039,28332714.80605348,2390456.598057173,0.0,0.0,20055930.857699685,0.0,12291224.795720706,1949932.654271074,0.0,0.0,16359934.969334314,0.0,11972779.836719165,0.0,0.0,8000.0,6000.0,1.2838196295403164,0.9999802909556897,1.2019231863940447,0.9658900849473172,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,2.9103830456733704e-11,336,0
2026-07-06,60154884.123733856,31965727.57462731,28189156.549106546,2347043.1706270613,0.0,0.0,19691692.201561045,0.0,12274035.373066267,1934103.982741484,0.0,0.0,16227132.415201051,0.0,11962024.133905496,0.0,0.0,8000.0,6000.0,1.2590567311046157,0.9909824125707872,1.179715586279151,0.9573393603096361,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,4.3655745685100555e-11,331,0
2026-07-07,59548573.00489363,31388723.42060954,28159849.58428409,2277678.3166073463,0.0,0.0,19109721.076335635,0.0,12279002.344273906,1929022.5294187856,0.0,0.0,16184499.021823613,0.0,11975350.562460477,0.0,0.0,8000.0,6000.0,1.2188783059094057,0.9875359049927387,1.1439646705282354,0.9547306646574621,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,2.9103830456733704e-11,327,0
2026-07-08,59980522.978747636,32187722.749325246,27792800.22942239,2367107.1451427722,0.0,0.0,19860028.94774786,0.0,12327693.801577386,1888189.1101753232,0.0,0.0,15841906.634370962,0.0,11950893.595051426,0.0,0.0,8000.0,6000.0,1.2665378816436261,0.9628297428932134,1.191583718147283,0.9319045777009404,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,2.9103830456733704e-11,326,0
2026-07-09,59386203.4877606,31844651.02805962,27541552.45970098,2321384.5406792266,0.0,0.0,19476416.296298712,0.0,12368234.731760908,1853917.0067727885,0.0,0.0,15554363.686823696,0.0,11987188.772877282,0.0,0.0,8000.0,6000.0,1.2373690229249916,0.9411986556252825,1.1679939745575394,0.9127016791502157,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,5.820766091346741e-11,318,0
2026-07-10,56010564.24606538,28786691.409063607,27223872.83700177,1967504.269464736,0.0,0.0,16507360.820809137,0.0,12279330.58825447,1815870.816331577,0.0,0.0,15235156.149021933,0.0,11988716.68797984,0.0,0.0,8000.0,6000.0,1.0416753881580576,0.9204326689716422,0.9841779170860374,0.8931837943291567,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,2.9103830456733704e-11,303,0
2026-07-11,58403510.3463843,30987087.836629644,27416422.509754658,2219128.974366047,0.0,0.0,18618492.094931137,0.0,12368595.74169851,1835116.8894620019,0.0,0.0,15396630.702586196,0.0,12019791.80716846,0.0,0.0,8000.0,6000.0,1.176742233267392,0.9291723495991754,1.1152209607637877,0.9029664030248089,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,5.820766091346741e-11,312,0
2026-07-12,60973237.04435007,33441327.212058786,27531909.83229129,2496476.46641671,0.0,0.0,20945437.553236198,0.0,12495889.658822589,1847065.6845851291,0.0,0.0,15496881.093669234,0.0,12035028.738622054,0.0,0.0,8000.0,6000.0,1.3299916257258249,0.9345489443055758,1.2616678472106742,0.9088359682422003,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,2.9103830456733704e-11,331,0
2026-07-13,60314523.51314309,32755405.13726204,27559118.375881057,2415762.1586147323,0.0,0.0,20268244.510777604,0.0,12487160.626484435,1848297.254251631,0.0,0.0,15507213.963171184,0.0,12051904.412709873,0.0,0.0,8000.0,6000.0,1.2833804933491075,0.9340581075740136,1.2196165651593922,0.9092707508508959,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,2.9103830456733704e-11,324,0
