consumer_id,substation,category,archetype,w_h,lambda_h,gamma_sh_h,gamma_cu_h,y_max_h,tariff_class,baseline_kwh,optimised_kwh,energy_shifted_kwh,energy_curtailed_kwh,n_shift_slots,n_curtail_slots,discomfort_J2_tk,incentive_received_tk,n_dr_events,income_band,monthly_income_bdt,household_size,peak_baseline_kw,peak_optimised_kw,connected_load_kw,J1_baseline_tk,J1_optimised_tk,rebate_tk,marginal_rate_tk_per_kwh,period_days,scale_to_30d,baseline_kwh_30d,optimised_kwh_30d,bill_baseline_tk,bill_optimised_tk,surcharge_tk,energy_charge_baseline_tk,energy_charge_optimised_tk,eff_rate_baseline,eff_rate_optimised,slab_baseline,slab_optimised,saving_tk,saving_pct,J1_saving_tk,energy_saving_kwh,energy_saving_pct,peak_reduction_kw,peak_reduction_pct,qoe,qoe_ok,net_benefit_tk,gained_unweighted,gained_lambda,gained,saving_per_discomfort,participated
DHNC0225,Dhanmondi,Commercial,Commercial,36.75972604031296,0.3523582117299305,2.8203413142065736,21.134675718766466,0.2561773630171333,LT-E,395.29682820789594,357.8676219119842,0.0,37.42920629591172,0,159,3390.2320177495985,453.9930682792526,7,,0.0,0,4.596817835090739,4.5929955153040325,6.1499999999999995,26074.104241217396,23109.71110258118,453.9930682792526,15.36,7,4.285714285714286,1694.1292637481254,1533.7183796227894,27904.09176572976,25316.985026556344,0.0,26021.825491171203,23557.914311006043,16.471052335164906,16.50693201758652,flat,flat,2587.1067391734177,9.271424280329944,2964.3931386362165,37.42920629591174,9.468633094173686,0.0038223197867068848,0.08315143048585552,0.9053136690582632,True,-349.13221029692795,False,False,False,0.7631061017737402,True
DHNC0226,Dhanmondi,Commercial,Commercial,36.75972604031296,0.5271543560437628,2.773143849109208,23.210124088636636,0.2822106297931066,LT-E,2090.5899761701307,1777.001479744611,0.0,313.5884964255196,0,194,31193.262492022703,3455.828642658526,7,,0.0,0,21.006811373588423,20.131417896306367,22.15,136646.5235942119,111527.51420335037,3455.828642658526,15.36,7,4.285714285714286,8959.671326443417,7615.720627476904,146594.7541528794,124919.51727994751,0.0,137620.55157417088,116977.46883804524,16.3616218510407,16.40284923651847,flat,flat,21675.2368729319,14.785820269071447,25119.009390861538,313.5884964255197,15.000000000000004,0.8753934772820564,4.167188735662551,0.85,True,-6062.1969764322785,False,False,False,0.6948691846027673,True
DHNC0227,Dhanmondi,Commercial,Commercial,36.75972604031296,0.49467697318626824,2.9534732211235446,20.486380641145466,0.43438225640973105,LT-E,743.6253083088671,632.0815120625371,0.0,111.54379624633009,0,101,9793.40857740296,1229.2566872281777,7,,0.0,0,8.622562051171371,8.622562051171371,7.65,49210.01924374352,39483.655028987145,1229.2566872281777,15.36,7,4.285714285714286,3186.965607038002,2708.9207659823014,52122.30631030889,44412.399113762556,0.0,48951.79172410371,41609.02296548815,16.35483803000682,16.394868270596263,flat,flat,7709.907196546337,14.791953277442465,9726.364214756373,111.54379624633009,15.000000000000004,0.0,0.0,0.85,True,-854.244693628445,False,False,False,0.7872547270554976,True
DHNC0228,Dhanmondi,Commercial,Commercial,36.75972604031296,0.6516896871580147,3.058026654715455,22.200605524447667,0.38836257964370446,LT-E,620.0991282330396,527.0842589980837,0.0,93.01486923495594,0,139,8849.941799114315,1025.058955085253,7,,0.0,0,7.266615550579809,6.123871663807119,9.55,40984.48632246946,33281.75431622018,1025.058955085253,15.36,7,4.285714285714286,2657.567692427312,2258.9325385632155,43763.72674346769,37334.53898194754,0.0,40820.23975568351,34697.20379233099,16.467586834446998,16.527513922878818,flat,flat,6429.187761520152,14.69067705135462,7702.732006249287,93.01486923495588,14.999999999999991,1.1427438867726902,15.725943925594217,0.85,True,-1395.6950825089098,False,True,False,0.7264666714716218,True
DHNC0229,Dhanmondi,Commercial,Commercial,36.75972604031296,0.590393138286517,2.5226482250364226,29.089849645647973,0.3161351929983345,LT-E,214.08404756613763,181.97144043121696,0.0,32.11260713492064,0,133,4003.5039140768718,353.89403781341105,7,,0.0,0,2.100352964339147,2.100352964339147,2.55,13982.214199998663,11456.611693709789,353.89403781341105,15.36,7,4.285714285714286,917.5030609977326,779.8776018480727,15038.46436777143,12818.840962605716,0.0,14092.847016925172,11978.919964386396,16.39064217553449,16.43699079474646,flat,flat,2219.623405165714,14.75964134956848,2525.602506288875,32.112607134920665,15.000000000000009,0.0,0.0,0.8500000000000001,True,-1429.9864710977467,False,False,False,0.5544201911133925,True
DHNC0230,Dhanmondi,Commercial,Commercial,36.75972604031296,0.5774431112276123,1.6267790832387652,24.585688524801867,0.2794428950969283,LT-E,1741.0127411159863,1479.8608299485884,0.0,261.151911167398,0,140,27516.855195507305,2878.0015198527135,7,,0.0,0,21.613025888343007,21.613025888343007,21.35,114771.50529024353,93519.05839913919,2878.0015198527135,15.36,7,4.285714285714286,7461.48317621137,6342.260699779665,122356.37566593697,104305.55556604643,0.0,114608.38158660664,97417.12434861565,16.398398652969213,16.446116062316722,flat,flat,18050.820099890538,14.752660007823147,21252.446891104337,261.1519111673979,14.999999999999996,0.0,0.0,0.85,True,-6588.033575764053,False,True,False,0.65599139042741,True
DHNC0231,Dhanmondi,Commercial,Commercial,36.75972604031296,0.5347339615124203,2.577467126557817,29.181009756382927,0.27644437413835965,LT-E,535.3550043535272,455.0517537004981,0.0,80.30325065302907,0,166,10042.842603322735,884.9713541144441,7,,0.0,0,7.018926230211134,7.018926230211134,6.65,35617.81456746246,29015.53596288244,884.9713541144441,15.36,7,4.285714285714286,2294.378590086545,1950.2218015735634,37632.1629009158,32081.602215778432,0.0,35241.65514372933,29955.406872169933,16.401897691826132,16.45023257861898,flat,flat,5550.560685137367,14.749512803055737,6602.27860458002,80.30325065302907,14.999999999999996,0.0,0.0,0.8500000000000001,True,-3607.3105640709246,False,False,False,0.552688208346602,True
DHNC0232,Dhanmondi,Commercial,Commercial,36.75972604031296,0.6482744673170733,2.2493560494953146,24.122724742555242,0.2957585698823511,LT-E,1289.4401751952814,1096.0241489159891,0.0,193.41602627929223,0,100,19995.94955457513,2131.5193537876075,7,,0.0,0,16.240425684837334,16.240425684837334,16.15,87210.90296062123,70481.14014823358,2131.5193537876075,15.36,7,4.285714285714286,5526.172179408349,4697.246352497096,90652.27990949784,77283.36417307316,0.0,84882.00467571223,72149.70397435539,16.40417217677126,16.45290844326031,flat,flat,13368.915736424678,14.747467741320412,16729.76281238765,193.41602627929228,15.000000000000005,0.0,0.0,0.85,True,-4495.514464362845,False,True,False,0.6685811894022223,True
DHNC0233,Dhanmondi,Commercial,Commercial,36.75972604031296,0.5967002966737178,3.069427328958588,33.2631280115955,0.37652431369686484,LT-E,1412.2788069132275,1200.4369858762434,0.0,211.84182103698413,0,91,30199.378334411605,2334.576914236211,7,,0.0,0,18.176044034296154,18.176044034296154,17.2,94396.10694983037,75623.97996221636,2334.576914236211,15.36,7,4.285714285714286,6052.623458199547,5144.729939469615,99242.11113384228,84599.60446376594,0.0,92968.29631794503,79023.05187025327,16.396544708129504,16.443934950740594,flat,flat,14642.506670076342,14.75432807987006,18772.126987614014,211.84182103698413,14.999999999999998,0.0,0.0,0.85,True,-13222.294750099052,False,False,False,0.48486119508597597,True
DHNC0234,Dhanmondi,Commercial,Commercial,36.75972604031296,0.6554704558593628,2.36136812067222,23.043213619672162,0.2699455911723886,LT-E,1260.8814877014988,1071.749264546274,0.0,189.13222315522484,0,153,18678.06094512579,2084.303847019487,7,,0.0,0,14.958687441487871,14.241265632771734,16.45,83380.53849983035,68045.56604875928,2084.303847019487,15.36,7,4.285714285714286,5403.777804434995,4593.211133769745,88706.6534299276,75633.83416543844,0.0,83002.02707612152,70551.72301470328,16.41567374534241,16.466439700402834,flat,flat,13072.819264489153,14.737134993843295,15334.972451071066,189.1322231552249,15.000000000000005,0.7174218087161375,4.79602111831263,0.85,True,-3520.9378336171503,False,True,False,0.6999023776020296,True
DHNC0235,Dhanmondi,Commercial,Commercial,36.75972604031296,0.6219672504552761,2.760704304791504,24.085020703443952,0.19347192942494412,LT-E,604.9970252035614,538.6022388570425,0.0,66.394786346519,0,210,6853.370587528491,731.7007497774007,7,,0.0,0,9.221872300417374,7.823468123667776,8.45,39030.40617987278,34033.61434884313,731.7007497774007,15.36,7,4.285714285714286,2592.8443937295488,2308.295309387325,42615.91938207016,38026.71174979877,0.0,39826.08988768587,35455.41595218931,16.435972588687207,16.47393710638001,flat,flat,4589.207632271391,10.768763642354301,4996.7918310296445,66.39478634651891,10.974398811990731,1.3984041767495983,15.163994156439445,0.8902560118800925,True,-1532.4622054796992,False,True,False,0.6696278238072606,True
DHNC0236,Dhanmondi,Commercial,Commercial,36.75972604031296,0.5362486358709379,2.314911023784496,24.917129630932198,0.2770154233276872,LT-E,279.8152235082859,241.28300781229635,0.0,38.532215695989606,0,168,4114.7666291314845,424.64074440478345,7,,0.0,0,3.463704053661075,2.9108400729949735,4.95,18361.191506908286,15412.768035373474,424.64074440478345,15.36,7,4.285714285714286,1199.2081007497966,1034.07003348127,19808.60324889272,17145.25649998592,0.0,18419.836427516875,15883.315714272307,16.518069913393287,16.580362978187463,flat,flat,2663.346748906799,13.445404077421143,2948.423471534812,38.53221569598955,13.770593040963881,0.5528639806661015,15.961640258547318,0.8622940695903609,True,-1026.779135819902,False,False,False,0.6472655654517542,True
DHNC0237,Dhanmondi,Commercial,Commercial,36.75972604031296,0.5943932155910552,1.8408089122367497,24.019907968417005,0.25468565164154633,LT-E,493.1598987130028,419.18591390605235,0.0,73.97398480695041,0,195,7615.064173371543,815.2207970821744,7,,0.0,0,7.679296833408247,5.993272353335152,9.700000000000001,32535.807683231415,26744.272711811005,815.2207970821744,15.36,7,4.285714285714286,2113.5424230557264,1796.5110595973672,35003.86219904276,29890.780369186337,0.0,32464.011618135955,27594.40987541556,16.561703146906662,16.63823899636078,flat,flat,5113.081829856419,14.607193345642427,5791.534971420409,73.97398480695045,15.000000000000007,1.6860244800730948,21.955453951697276,0.85,True,-1686.7615464329492,False,True,False,0.6714430388828385,True
DHNC0238,Dhanmondi,Commercial,Commercial,36.75972604031296,0.47997822091744036,2.4017191139130976,23.345961102992693,0.24925097212373026,LT-E,1148.2218864149652,975.9886034527203,0.0,172.2332829622448,0,179,17232.649391474144,1898.0805318753248,7,,0.0,0,15.321125541195318,15.20630296885314,15.600000000000001,74778.91657837796,61263.680225114564,1898.0805318753248,15.36,7,4.285714285714286,4920.950941778422,4182.808300511659,80839.29678900239,68934.53227065204,0.0,75585.80646571655,64247.93549585908,16.427576243990604,16.480442639988947,flat,flat,11904.764518350348,14.726457293935674,13515.236353263397,172.23328296224486,15.000000000000005,0.11482257234217741,0.7494395371504751,0.85,True,-3429.8043412484712,False,False,False,0.6908261317171712,True
