date,qoe_tk_per_kwh,c7_binding,ir_tk_per_kwh,ir_binding,consumer,substation,slot,action,value,private_tk_per_kwh,system_tk_per_kwh,discomfort_tk_per_kwh,margin,pi_i_t,pi_off,kappa,price_tau_tk_per_kwh,price_off_mean_tk_per_kwh,energy_kwh,clock,lambda_h,y_max_h,at_cap,lambda_star
2026-06-14,0.0,False,-0.0,False,DHNC0021,Dhanmondi,26,curtail,0.36812831116610345,10.297219503295597,48.50989760140264,10.220333661543052,48.586783443155184,49.3,,0.9839735821785526,17.35,,274.9116348466816,13:00,0.593499683187066,0.36812831116610345,True,-0.5499271871282462
2026-06-14,0.0,False,-0.0,False,DHNC0021,Dhanmondi,27,curtail,0.36812831116610345,10.297219503295597,48.50989760140264,10.220333661543052,48.586783443155184,49.3,,0.9839735821785526,17.35,,14.08254324951375,13:30,0.593499683187066,0.36812831116610345,True,-0.5499271871282462
2026-06-14,0.0,False,-0.0,False,DHNC0021,Dhanmondi,28,curtail,0.36812831116610345,10.297219503295597,48.50989760140264,10.220333661543052,48.586783443155184,49.3,,0.9839735821785526,17.35,,21.29224380348389,14:00,0.593499683187066,0.36812831116610345,True,-0.5499271871282462
2026-06-14,0.0,False,-0.0,False,DHNC0025,Dhanmondi,24,curtail,0.40669407087305026,8.88009441058746,48.50989760140263,7.876613589725577,49.51337842226451,49.29999999999998,,0.9839735821785526,15.01,,13.944878767633083,12:00,0.5916118861150873,0.40669407087305026,True,-0.8520498093656886
2026-06-14,0.0,False,-0.0,False,DHNC0025,Dhanmondi,25,curtail,0.40669407087305026,8.88009441058746,59.03841493071315,7.876613589725577,60.04189575157504,60.0,,0.9839735821785526,15.01,,13.994176922053986,12:30,0.5916118861150873,0.40669407087305026,True,-1.1590298148281397
2026-06-14,0.0,False,-0.0,False,DHNC0025,Dhanmondi,26,curtail,0.40669407087305026,8.88009441058746,48.50989760140264,7.876613589725577,49.51337842226452,49.3,,0.9839735821785526,15.01,,21.21717065649128,13:00,0.5916118861150873,0.40669407087305026,True,-0.8520498093656891
2026-06-14,0.0,False,-0.0,False,DHNC0025,Dhanmondi,27,curtail,0.40669407087305026,8.88009441058746,48.50989760140264,7.876613589725577,49.51337842226452,49.3,,0.9839735821785526,15.01,,274.7862090472129,13:30,0.5916118861150873,0.40669407087305026,True,-0.8520498093656891
2026-06-14,0.0,False,-0.0,False,DHNC0025,Dhanmondi,28,curtail,0.40669407087305026,8.88009441058746,48.50989760140264,7.876613589725577,49.51337842226452,49.3,,0.9839735821785526,15.01,,14.0438771423255,14:00,0.5916118861150873,0.40669407087305026,True,-0.8520498093656891
2026-06-14,0.0,False,0.0,False,DHNC0028,Dhanmondi,26,shift,1.0,0.0,27.487994232131378,0.6992055732583496,26.788788658873028,49.3,21.364296511627902,0.9839735821785526,17.35,17.35,132.4578981574716,13:00,,,,
2026-06-14,0.0,False,-0.0,False,DHNC0028,Dhanmondi,24,curtail,0.3835220657433097,10.75639610444501,48.50989760140263,6.4310310707194285,52.83526263512821,49.29999999999998,,0.9839735821785526,17.35,,303.16823237968066,12:00,0.61996519333977,0.3835220657433097,True,-0.9216702438433813
2026-06-14,0.0,False,-0.0,False,DHNC0028,Dhanmondi,25,curtail,0.3835220657433097,10.75639610444501,59.03841493071315,6.4310310707194285,63.363779964438734,60.0,,0.9839735821785526,17.35,,313.0117193250112,12:30,0.61996519333977,0.3835220657433097,True,-1.228872945341273
