date,F_tk,F_Dhanmondi,F_Kalyanpur,G_id_kwh_Dhanmondi,B_id_kwh_Dhanmondi,T_ijd_kwh_Dhanmondi,f_cost_tk_Dhanmondi,f_rel_tk_Dhanmondi,f_wel_tk_Dhanmondi,G_id_kwh_Kalyanpur,B_id_kwh_Kalyanpur,T_ijd_kwh_Kalyanpur,f_cost_tk_Kalyanpur,f_rel_tk_Kalyanpur,f_wel_tk_Kalyanpur,varpi_Dhanmondi,varpi_Kalyanpur,soc_end_Dhanmondi,soc_end_Kalyanpur,kappa_Dhanmondi,kappa_Kalyanpur,kappa_refday_Dhanmondi,kappa_refday_Kalyanpur,scale_gmax_Dhanmondi,scale_gmax_Kalyanpur,scale_pmax_Dhanmondi,scale_pmax_Kalyanpur,g_max_kw_eff_Dhanmondi,g_max_kw_eff_Kalyanpur,p_max_kw_eff_Dhanmondi,p_max_kw_eff_Kalyanpur,rho_used_tk_per_kwh,rho_current_policy,individual_rationality_on,curtail_scope_used,gamma_scale_used,max_c1_slack_kw,n_c7_binding,n_ir_binding
2026-06-24,64250366.657685235,32120511.778987065,32129854.87869817,2133519.2727963906,87039.59988138058,112176.358440237,19096461.503766038,158378.83538983413,12865671.439831194,1901300.012966168,98461.28087242888,20206.78031148756,16291563.443053927,3397415.5040673413,12440875.9315769,0.005317128818211166,0.029638075844790734,8000.0,5999.999999999998,0.9854083393737474,0.9657294952313036,0.967032967032967,0.9565217391304348,0.55,0.55,0.62,0.62,110000.00000000001,88000.0,124000.0,99200.0,3.0,False,False,dr_window,1.0,2.9103830456733704e-11,0,0
2026-06-25,62177868.784327835,31478921.30823821,30698947.47608963,2090246.5311540803,81173.80435423445,73127.82992641415,18353643.487215023,150980.77331594395,12974297.047707243,1856594.3396122875,100832.58308325775,9696.303113155353,15820190.263546955,2306544.383179792,12572212.829362884,0.0025261319105714013,0.018975416456337088,8000.000000000002,6000.000000000002,0.9688343954435716,0.914468135295299,0.9743589743589743,0.9130434782608695,0.55,0.55,0.62,0.62,110000.00000000001,88000.0,124000.0,99200.0,3.0,False,False,dr_window,1.0,2.9103830456733704e-11,0,0
2026-06-26,59056377.540814295,27584873.732726026,31471503.808088273,1591479.3917813664,1.8189894035458565e-12,159770.5570803607,14870332.389309093,0.0,12714541.343416933,1894106.6249765574,102403.4768484582,0.0,16045159.798826005,2924509.3981159176,12501834.611146351,0.0,0.04150158738041796,8000.0,5999.999999999995,0.6744008870610252,0.9774504500983394,0.676923076923077,0.9782608695652174,0.55,0.55,0.62,0.62,110000.00000000001,88000.0,124000.0,99200.0,3.0,False,False,dr_window,1.0,1.4551915228366852e-11,0,0
2026-06-27,64138223.492517576,31974503.34773336,32163720.14478422,2050784.5134396306,68388.76843817292,146480.69036060933,18700231.778841548,0.0,13274271.568891812,1897836.9862990708,99739.48837229953,0.0,16072461.547607655,3132323.0147889494,12958935.582387613,0.0,0.037329404384556265,7999.999999999998,6000.000000000001,0.8776652592790941,0.9552410716665093,0.8901098901098901,0.9782608695652174,0.55,0.55,0.62,0.62,110000.00000000001,88000.0,124000.0,99200.0,3.0,False,False,dr_window,1.0,1.4551915228366852e-11,0,0
2026-06-28,73218661.11148089,33536181.74107854,39682479.37040234,2190897.091098184,109612.37730030232,106135.04820944826,19554328.11825398,514313.0457449211,13467540.577079639,1944205.3244482307,78011.28943637828,26864.72591091584,16684114.502428925,10014382.689676113,12983982.178297302,0.006884804168778977,0.02884277770366536,7999.999999999999,6000.000000000002,0.9921581771756754,1.007388410915333,1.0036630036630036,1.0217391304347827,0.55,0.55,0.62,0.62,110000.00000000001,88000.0,124000.0,99200.0,3.0,False,False,dr_window,1.0,2.9103830456733704e-11,1,0
2026-06-29,70112498.91765499,32933409.042237602,37179089.87541739,2173332.276318307,100556.23858649003,106023.0168810678,19392310.816560477,388815.78470756486,13152282.440969562,1928393.041676356,80660.13796135286,24948.576162800913,16537219.300153267,7980902.54928248,12660968.025981644,0.006502769276847139,0.028785262043423476,7999.999999999995,5999.999999999998,1.0,1.0,1.0,1.0,0.55,0.55,0.62,0.62,110000.00000000001,88000.0,124000.0,99200.0,3.0,False,False,dr_window,1.0,2.9103830456733704e-11,1,0
2026-06-30,74682530.07243323,34719822.72286106,39962707.34957218,2263934.560382544,96581.44456444954,65089.58594974075,19757634.19497876,2578486.5598396035,12383701.9680427,1949438.7562899925,75914.99783332026,42921.092845987136,16877414.044059895,10984990.066414973,12100303.239097308,0.01189901587914868,0.01887286383854782,7999.999999999999,5999.999999999997,1.1367510443265838,1.0440440804232594,1.067544182835452,1.0104250239859682,0.55,0.55,0.62,0.62,110000.00000000001,88000.0,124000.0,99200.0,3.0,False,False,dr_window,1.0,2.9103830456733704e-11,1,0
2026-07-01,80613402.77215979,39687497.1642839,40925905.607875876,2317305.03124965,117172.76290437239,27779.140824823633,19881850.19437695,7538238.476171478,12267408.493735475,1943557.7142318017,71741.76907952619,42857.14285714284,16821204.733166963,12016616.959977902,12088083.914731013,0.012413735058723362,0.008136553510399037,7999.999999999996,6000.000000000003,1.2236247977945467,1.0327623182011803,1.147566878524845,0.9987712010205279,0.55,0.55,0.62,0.62,110000.00000000001,88000.0,124000.0,99200.0,3.0,False,False,dr_window,1.0,1.4551915228366852e-11,1,0
2026-07-02,77305382.51601444,38545095.659213655,38760286.85680079,2305197.2401527455,130941.91960492132,21852.67151159436,19744618.103649065,6540538.981816331,12259938.573748259,1928387.5834170682,69596.65948893089,50320.645667027246,16761612.94793936,9916390.24832488,12082283.660536544,0.014459350824635321,0.006285404817267481,8000.000000000007,6000.0,1.2164289699990856,1.0024354264456334,1.1402408711988377,0.9690610560929916,0.55,0.55,0.62,0.62,110000.00000000001,88000.0,124000.0,99200.0,3.0,False,False,dr_window,1.0,1.4551915228366852e-11,1,0
2026-07-03,61164904.76263406,30765194.999649912,30399709.76298415,2105221.6108799465,78362.936132064,96157.71379823014,18693852.00056403,21005.89826800077,12050337.100817883,1895378.5560345687,76274.23263178937,3170.288270118545,16046755.172643842,2461717.93134583,11891236.65899448,0.0008576379775400558,0.025922712773054815,8000.000000000003,5999.999999999999,0.9988600017996484,0.9830398844404861,0.9349122634427213,0.9495683024698032,0.55,0.55,0.62,0.62,110000.00000000001,88000.0,124000.0,99200.0,3.0,False,False,dr_window,1.0,1.4551915228366852e-11,0,0
