date,F_tk,F_Dhanmondi,F_Kalyanpur,G_id_kwh_Dhanmondi,B_id_kwh_Dhanmondi,T_ijd_kwh_Dhanmondi,f_cost_tk_Dhanmondi,f_rel_tk_Dhanmondi,f_wel_tk_Dhanmondi,G_id_kwh_Kalyanpur,B_id_kwh_Kalyanpur,T_ijd_kwh_Kalyanpur,f_cost_tk_Kalyanpur,f_rel_tk_Kalyanpur,f_wel_tk_Kalyanpur,varpi_Dhanmondi,varpi_Kalyanpur,soc_end_Dhanmondi,soc_end_Kalyanpur,kappa_Dhanmondi,kappa_Kalyanpur,kappa_refday_Dhanmondi,kappa_refday_Kalyanpur,scale_gmax_Dhanmondi,scale_gmax_Kalyanpur,scale_pmax_Dhanmondi,scale_pmax_Kalyanpur,g_max_kw_eff_Dhanmondi,g_max_kw_eff_Kalyanpur,p_max_kw_eff_Dhanmondi,p_max_kw_eff_Kalyanpur,rho_used_tk_per_kwh,rho_current_policy,individual_rationality_on,curtail_scope_used,max_c1_slack_kw,n_c7_binding,n_ir_binding
2026-06-24,58699509.34943673,29787261.99604071,28912247.353396017,2074968.467069779,0.0,0.0,17408985.438715447,0.0,12378276.557325264,2061325.3529243136,0.0,0.0,17294519.71103499,0.0,11617727.642361026,0.0,0.0,8000.0,6000.0,0.9854083393737474,0.9657294952313036,0.967032967032967,0.9565217391304348,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,15.0,False,True,dr_window,7.275957614183426e-12,0,498
2026-06-25,58594482.872575045,29801569.59903106,28792913.273543984,2059120.5307311658,0.0,0.0,17276021.25283448,0.0,12525548.34619658,1987182.5872981837,0.0,0.0,16672461.907431763,0.0,12120451.366112221,0.0,0.0,8000.0,6000.0,0.9688343954435716,0.914468135295299,0.9743589743589743,0.9130434782608695,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,15.0,False,True,dr_window,1.4551915228366852e-11,0,592
2026-06-26,54138976.66173069,24661560.637279708,29477416.024450984,1439358.768561555,0.0,0.0,12076220.068231449,0.0,12585340.56904826,2110138.288204761,0.0,0.0,17704060.238037948,0.0,11773355.786413036,0.0,0.0,8000.0,6000.0,0.6744008870610252,0.9774504500983394,0.676923076923077,0.9782608695652174,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,15.0,False,True,dr_window,1.4551915228366852e-11,0,498
2026-06-27,59001442.17743355,29160903.38119804,29840538.79623551,1918474.7426656457,0.0,0.0,16096003.090964768,0.0,13064900.290233271,2105787.202403371,0.0,0.0,17667554.628164284,0.0,12172984.168071225,0.0,0.0,8000.0,6000.0,0.8776652592790941,0.9552410716665093,0.8901098901098901,0.9782608695652174,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,15.0,False,True,dr_window,1.4551915228366852e-11,0,495
2026-06-28,61507057.803747356,30944661.7292775,30562396.074469857,2152543.5769417756,0.0,0.0,18059840.6105415,0.0,12884821.118735997,2206211.4791406845,0.0,0.0,18510114.309990343,0.0,12052281.764479514,0.0,0.0,8000.0,6000.0,0.9921581771756754,1.007388410915333,1.0036630036630036,1.0217391304347827,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,15.0,False,True,dr_window,1.4551915228366852e-11,0,496
2026-06-29,60335481.93754798,30468199.164926972,29867282.772621006,2132723.8793294746,0.0,0.0,17893553.347574294,0.0,12574645.817352679,2157587.6959302975,0.0,0.0,18102160.768855195,0.0,11765122.003765812,0.0,0.0,8000.0,6000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,15.0,False,True,dr_window,0.0,0,498
2026-06-30,60738722.11513161,31321083.28907068,29417638.82606093,2321099.8702761475,0.0,0.0,19474027.91161688,0.0,11847055.3774538,2170961.8753015045,0.0,0.0,18214370.133779623,0.0,11203268.692281306,0.0,0.0,8000.0,6000.0,1.1367510443265838,1.0440440804232594,1.067544182835452,1.0104250239859682,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,15.0,False,True,dr_window,1.4551915228366852e-11,0,500
2026-07-01,61385385.34663126,32190059.1259657,29195326.220665555,2471445.6559134116,0.0,0.0,20735429.053113524,0.0,11454630.072852176,2145733.2362840837,0.0,0.0,18002701.852423463,0.0,11192624.368242092,0.0,0.0,8000.0,6000.0,1.2236247977945467,1.0327623182011803,1.147566878524845,0.9987712010205279,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,15.0,False,True,dr_window,1.4551915228366852e-11,0,385
2026-07-02,60702712.22262338,32049990.935128268,28652721.28749511,2455578.052915535,0.0,0.0,20602299.86396134,0.0,11447691.071166929,2081764.0360987317,0.0,0.0,17466000.26286836,0.0,11186721.02462675,0.0,0.0,8000.0,6000.0,1.2164289699990856,1.0024354264456334,1.1402408711988377,0.9690610560929916,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,15.0,False,True,dr_window,1.4551915228366852e-11,0,385
2026-07-03,57148115.707046464,28860711.94060802,28287403.766438443,2034420.225163053,0.0,0.0,17068785.689118017,0.0,11791926.251490004,2039711.7405473613,0.0,0.0,17113181.50319236,0.0,11174222.263246082,0.0,0.0,8000.0,6000.0,0.9988600017996484,0.9830398844404861,0.9349122634427213,0.9495683024698032,1.0,1.0,1.0,1.0,200000.0,160000.0,200000.0,160000.0,15.0,False,True,dr_window,1.4551915228366852e-11,0,501
