date,F_tk,F_Dhanmondi,F_Kalyanpur,G_id_kwh_Dhanmondi,B_id_kwh_Dhanmondi,T_ijd_kwh_Dhanmondi,f_cost_tk_Dhanmondi,f_rel_tk_Dhanmondi,f_wel_tk_Dhanmondi,G_id_kwh_Kalyanpur,B_id_kwh_Kalyanpur,T_ijd_kwh_Kalyanpur,f_cost_tk_Kalyanpur,f_rel_tk_Kalyanpur,f_wel_tk_Kalyanpur,varpi_Dhanmondi,varpi_Kalyanpur,soc_end_Dhanmondi,soc_end_Kalyanpur,kappa_Dhanmondi,kappa_Kalyanpur,kappa_refday_Dhanmondi,kappa_refday_Kalyanpur,scale_gmax_Dhanmondi,scale_gmax_Kalyanpur,scale_pmax_Dhanmondi,scale_pmax_Kalyanpur,g_max_kw_eff_Dhanmondi,g_max_kw_eff_Kalyanpur,p_max_kw_eff_Dhanmondi,p_max_kw_eff_Kalyanpur,rho_used_tk_per_kwh,rho_current_policy,individual_rationality_on,curtail_scope_used,gamma_scale_used,max_c1_slack_kw,n_c7_binding,n_ir_binding
2026-06-28,71681600.47183716,32029174.853721064,39652425.618116096,2169324.0472094836,70891.56623151821,65160.72379858517,18925992.981521405,299675.45034737734,12803506.42185228,1923605.5894477991,60479.584000608185,0.0,16229770.271467948,11149171.656644197,12273483.690003948,0.0,0.018003762445116703,7999.999999999996,5999.999999999999,0.9921581771756754,1.007388410915333,1.0036630036630036,1.0217391304347827,0.55,0.55,0.62,0.62,110000.00000000001,88000.0,124000.0,99200.0,3.0,False,True,all,1.0,2.9103830456733704e-11,118,668
2026-06-29,68835888.22206688,31512294.089610767,37323594.13245611,2149838.20794282,68763.10729103758,63252.675833156696,18741187.645991806,277398.48995682184,12493707.953662138,1910918.1077595763,52652.55979685168,0.0,16111581.763798123,9226560.963186301,11985451.405471686,0.0,0.01746109732159775,7999.999999999995,5999.999999999999,1.0,1.0,1.0,1.0,0.55,0.55,0.62,0.62,110000.00000000001,88000.0,124000.0,99200.0,3.0,False,True,all,1.0,1.4551915228366852e-11,115,668
2026-06-30,74090165.15259722,35267554.363667525,38822610.78892969,2239890.4937932794,72211.01056711347,30713.472313661056,19192775.745756064,4302409.673923272,11772368.943988187,1921683.538346739,57084.1601703421,0.0,16208551.126984654,11209831.07385476,11404228.588090278,0.0,0.008986870044089221,7999.9999999999945,5999.999999999999,1.1367510443265838,1.0440440804232594,1.067544182835452,1.0104250239859682,0.55,0.55,0.62,0.62,110000.00000000001,88000.0,124000.0,99200.0,3.0,False,True,all,1.0,1.4551915228366852e-11,111,674
2026-07-01,77444208.39633039,39223367.07106978,38220841.32526062,2293593.991502851,69713.01516538288,20179.874127904386,19539531.915672086,8085059.58436037,11598775.571037322,1915746.5059815752,55753.01703487257,0.0,16156742.710737726,10672737.677869318,11391360.936653575,0.0,0.005882704722473663,7999.999999999997,6000.0,1.2236247977945467,1.0327623182011803,1.147566878524845,0.9987712010205279,0.55,0.55,0.62,0.62,110000.00000000001,88000.0,124000.0,99200.0,3.0,False,True,all,1.0,2.9103830456733704e-11,147,634
2026-07-02,74151793.99249357,38398793.74224822,35753000.25024534,2281688.7472829046,69784.13296474758,12207.5207771291,19364016.23653342,7439510.52275243,11595266.982962376,1901429.2737717275,56874.54805668003,0.0,16038303.429029813,8319734.5744200945,11394962.246795429,0.0,0.0034843481849208434,8000.0,5999.999999999998,1.2164289699990856,1.0024354264456334,1.1402408711988377,0.9690610560929916,0.55,0.55,0.62,0.62,110000.00000000001,88000.0,124000.0,99200.0,3.0,False,True,all,1.0,2.9103830456733704e-11,147,635
2026-07-03,59526689.46505488,30251028.029359706,29275661.43569517,2090123.8772415828,94309.21485749341,90188.92674774776,18534397.956446726,0.0,11716630.07291298,1890615.5334083233,63232.94792506349,0.0,15957113.74718343,1930229.9701959495,11388317.718315791,0.0,0.0243989953452589,8000.000000000004,6000.000000000002,0.9988600017996484,0.9830398844404861,0.9349122634427213,0.9495683024698032,0.55,0.55,0.62,0.62,110000.00000000001,88000.0,124000.0,99200.0,3.0,False,True,all,1.0,1.4551915228366852e-11,112,673
2026-07-04,69058127.68295032,34307220.577031896,34750907.105918415,2221751.227912565,75453.37187946378,21287.838751371808,18955907.32814365,3638088.566266023,11713224.68262222,1899360.2087299041,57582.04694661616,0.0,16022005.221663821,7345938.741254121,11382963.143000474,0.0,0.006031680443405987,7999.999999999996,5999.999999999999,1.129907885795111,0.9988914375192233,1.0570147614856198,0.9645857371212303,0.55,0.55,0.62,0.62,110000.00000000001,88000.0,124000.0,99200.0,3.0,False,True,all,1.0,1.4551915228366852e-11,112,675
2026-07-05,79247134.79898632,43756799.36947542,35490335.42951089,2325574.09042126,73337.24950865912,10667.895852545955,19722917.503496546,12476888.329871917,11556993.53610695,1898378.2378097363,58451.786382617436,0.0,16015071.094797615,8103399.802892507,11371864.531820768,0.0,0.003044291459438173,8000.000000000002,5999.999999999996,1.2838196295403164,0.9999802909556897,1.2019231863940447,0.9658900849473172,0.55,0.55,0.62,0.62,110000.00000000001,88000.0,124000.0,99200.0,3.0,False,True,all,1.0,2.9103830456733704e-11,147,634
2026-07-06,76515560.90720606,41731095.78965984,34784465.11754621,2306503.8361688824,68819.35977120642,9226.919537866992,19542451.96072347,10628651.175602607,11559992.653333763,1893852.0599881185,58968.58605459495,0.0,15977871.662382208,7426611.42829062,11379982.026873378,0.0,0.002616046245636922,7999.999999999994,6000.0,1.2590567311046157,0.9909824125707872,1.179715586279151,0.9573393603096361,0.55,0.55,0.62,0.62,110000.00000000001,88000.0,124000.0,99200.0,3.0,False,True,all,1.0,1.4551915228366852e-11,147,634
2026-07-07,73189921.48219863,38582147.04486859,34607774.437330045,2279722.5782342316,69874.86353619982,8676.216385195003,19314108.782348856,7669783.229030836,11598255.033488896,1892609.8260037752,59294.22372767505,0.0,15967937.775763188,7243864.739773221,11395971.921793638,0.0,0.002453172793496611,8000.0,6000.0,1.2188783059094057,0.9875359049927387,1.1439646705282354,0.9547306646574621,0.55,0.55,0.62,0.62,110000.00000000001,88000.0,124000.0,99200.0,3.0,False,True,all,1.0,2.9103830456733704e-11,147,635
2026-07-08,76550858.9553687,42527390.50618978,34023468.44917892,2307291.306193083,66726.36998206709,3611.1255767971247,19492569.306912642,11419559.867930127,11615261.331347013,1878581.0479838331,61161.87148485778,1603.4562482897359,15868270.6341704,6605834.999151647,11549362.815856872,0.0004906503003138981,0.0010050721619956962,7999.999999999999,6000.0,1.2665378816436261,0.9628297428932134,1.191583718147283,0.9319045777009404,0.55,0.55,0.62,0.62,110000.00000000001,88000.0,124000.0,99200.0,3.0,False,True,all,1.0,2.9103830456733704e-11,133,652
2026-07-09,72940748.7524258,40289475.65620492,32651273.09622089,2285933.7772758272,68885.22707118299,0.0,19282312.23195097,9330714.062137246,11676449.362116704,1867572.6473981729,63475.347068604155,3840.046584391594,15800627.974825298,5229959.251816729,11620685.86957886,0.001148867883410605,0.0,8000.0,5999.999999999997,1.2373690229249916,0.9411986556252825,1.1679939745575394,0.9127016791502157,0.55,0.55,0.62,0.62,110000.00000000001,88000.0,124000.0,99200.0,3.0,False,True,all,1.0,1.4551915228366852e-11,133,652
2026-07-10,59751158.465042114,30287638.811794683,29463519.653247427,2120517.171679425,84854.29770514552,27620.92123301856,18180819.26866177,257145.83751079926,11849673.705622114,1843846.8153350381,57731.06395665459,0.0,15556471.376595952,2271885.565564798,11635162.71108668,0.0,0.007390363636557871,8000.0,5999.999999999996,1.0416753881580576,0.9204326689716422,0.9841779170860374,0.8931837943291567,0.55,0.55,0.62,0.62,110000.00000000001,88000.0,124000.0,99200.0,3.0,False,True,all,1.0,1.4551915228366852e-11,98,691
2026-07-11,67670371.07180074,35686014.724035375,31984356.34776537,2243353.0475200163,66300.23413497965,0.0,18921182.419895407,5043378.50507981,11721453.799060158,1858881.8728331998,64829.5633579085,4581.769075373435,15736790.064323457,4591310.561235577,11656255.722206341,0.001315189510621568,0.0,8000.0,5999.999999999998,1.176742233267392,0.9291723495991754,1.1152209607637877,0.9029664030248089,0.55,0.55,0.62,0.62,110000.00000000001,88000.0,124000.0,99200.0,3.0,False,True,all,1.0,2.9103830456733704e-11,133,654
2026-07-12,80957699.11295845,48462562.62962815,32495136.483330294,2350905.672240586,69450.51048814664,0.0,19828274.35583074,16905416.81542172,11728871.458375692,1864550.3355530824,60039.44664186529,5566.547911926582,15786518.69041646,5041680.10416787,11666937.688745962,0.001781699616240328,0.0,8000.000000000001,5999.999999999998,1.3299916257258249,0.9345489443055758,1.2616678472106742,0.9088359682422003,0.55,0.55,0.62,0.62,110000.00000000001,88000.0,124000.0,99200.0,3.0,False,True,all,1.0,2.9103830456733704e-11,133,652
2026-07-13,77328882.35513529,44783506.71032624,32545375.644809045,2319906.7592688547,65684.2105263158,0.0,19562544.026055165,13472211.628599253,11748751.055671822,1864667.7258261156,61414.006884444214,4609.712722483454,15780475.50087137,5081619.50982526,11683280.634112414,0.0014253402069010098,0.0,8000.000000000002,5999.999999999999,1.2833804933491075,0.9340581075740136,1.2196165651593922,0.9092707508508959,0.55,0.55,0.62,0.62,110000.00000000001,88000.0,124000.0,99200.0,3.0,False,True,all,1.0,2.9103830456733704e-11,133,652
