date,F_tk,F_Dhanmondi,F_Kalyanpur,G_id_kwh_Dhanmondi,B_id_kwh_Dhanmondi,T_ijd_kwh_Dhanmondi,f_cost_tk_Dhanmondi,f_rel_tk_Dhanmondi,f_wel_tk_Dhanmondi,G_id_kwh_Kalyanpur,B_id_kwh_Kalyanpur,T_ijd_kwh_Kalyanpur,f_cost_tk_Kalyanpur,f_rel_tk_Kalyanpur,f_wel_tk_Kalyanpur,varpi_Dhanmondi,varpi_Kalyanpur,soc_end_Dhanmondi,soc_end_Kalyanpur,max_c1_slack_kw,n_c7_binding
2026-06-24,58098622.67042319,29565028.940225884,28533593.730197303,1961432.824055556,0.0,0.0,16456421.393826116,0.0,13108607.546399768,1985095.2119882521,0.0,0.0,16654948.828581436,0.0,11878644.901615866,0.0,0.0,8000.0,6000.0,2.9103830456733704e-11,315
2026-06-25,58244341.29511359,29951933.00781087,28292408.287302725,1990751.8110713633,0.0,0.0,16702407.694888739,0.0,13249525.312922131,1928019.2994435872,0.0,0.0,16176081.922331698,0.0,12116326.364971027,0.0,0.0,8000.0,6000.0,2.9103830456733704e-11,293
2026-06-26,54185012.94953556,24925254.15520481,29259758.794330753,1408381.9138650743,0.0,0.0,11816324.257327974,0.0,13108929.897876834,2047432.6886437167,0.0,0.0,17177960.257720783,0.0,12081798.53660997,0.0,0.0,8000.0,6000.0,2.9103830456733704e-11,280
2026-06-27,59569695.75150876,29508811.80937075,30060883.94213801,1881630.516738309,0.0,0.0,15786880.035434414,0.0,13721931.773936337,2093685.6123308009,0.0,0.0,17566022.28745542,0.0,12494861.65468259,0.0,0.0,8000.0,6000.0,2.9103830456733704e-11,308
2026-06-28,61586331.90087761,31089222.078991808,30497109.8218858,2089217.962856077,0.0,0.0,17528538.708362486,0.0,13560683.37062932,2162707.181899377,0.0,0.0,18145113.256135777,0.0,12351996.565750025,0.0,0.0,8000.0,6000.0,2.9103830456733704e-11,325
2026-06-29,60128859.306930736,30501204.31438589,29627654.992544845,2048397.3551324452,0.0,0.0,17186053.809561215,0.0,13315150.504824677,2087630.059028734,0.0,0.0,17515216.19525108,0.0,12112438.797293762,0.0,0.0,8000.0,6000.0,4.3655745685100555e-11,323
2026-06-30,59046085.943104476,30326297.231180683,28719788.71192379,2106893.7740200623,0.0,0.0,17676838.764028326,0.0,12649458.467152359,2046211.9404648007,0.0,0.0,17167718.18049968,0.0,11552070.531424109,0.0,0.0,8000.0,6000.0,2.9103830456733704e-11,327
2026-07-01,59776970.017686464,31275595.753814343,28501374.26387212,2245401.6121605095,0.0,0.0,18838919.526026677,0.0,12436676.227787666,2021556.6766233463,0.0,0.0,16960860.516869877,0.0,11540513.747002244,0.0,0.0,8000.0,6000.0,2.9103830456733704e-11,340
2026-07-02,59103959.074936256,31119124.649252497,27984834.425683763,2230850.316140637,0.0,0.0,18716834.152419943,0.0,12402290.496832553,1966415.141756115,0.0,0.0,16498223.039333805,0.0,11486611.386349957,0.0,0.0,8000.0,6000.0,2.9103830456733704e-11,333
2026-07-03,55655731.4669002,28023614.610006165,27632116.85689404,1850290.28651516,0.0,0.0,15523935.503862193,0.0,12499679.106143972,1925557.9563529864,0.0,0.0,16155431.253801556,0.0,11476685.603092484,0.0,0.0,8000.0,6000.0,2.9103830456733704e-11,307
2026-07-04,57914149.734005526,30034576.35614913,27879573.377856396,2081409.5272083762,0.0,0.0,17463025.933278278,0.0,12571550.42287085,1955413.6635708725,0.0,0.0,16405920.637359621,0.0,11473652.740496775,0.0,0.0,8000.0,6000.0,2.9103830456733704e-11,320
2026-07-05,59990802.57413187,32082231.86573705,27908570.708394818,2346308.1148251053,0.0,0.0,19685525.083382636,0.0,12396706.782354416,1958504.3305419004,0.0,0.0,16431851.333246546,0.0,11476719.375148274,0.0,0.0,8000.0,6000.0,5.820766091346741e-11,339
2026-07-06,59488546.87547951,31722783.328414783,27765763.54706473,2303365.0657268064,0.0,0.0,19325232.901447907,0.0,12397550.426966874,1941333.0168696526,0.0,0.0,16287784.011536386,0.0,11477979.535528345,0.0,0.0,8000.0,6000.0,2.9103830456733704e-11,338
2026-07-07,58924968.210291475,31183004.95772308,27741963.252568394,2237533.2795660184,0.0,0.0,18772904.215558894,0.0,12410100.742164185,1937393.7008634848,0.0,0.0,16254733.150244638,0.0,11487230.102323757,0.0,0.0,8000.0,6000.0,2.9103830456733704e-11,334
2026-07-08,59701674.20398937,32028506.817353163,27673167.386636212,2331256.3033796716,0.0,0.0,19559240.385355446,0.0,12469266.431997716,1913139.8307314632,0.0,0.0,16051243.179836977,0.0,11621924.206799237,0.0,0.0,8000.0,6000.0,2.9103830456733704e-11,319
2026-07-09,59109259.23551321,31713438.459716186,27395820.775797028,2291223.3859100454,0.0,0.0,19223364.207785282,0.0,12490074.251930902,1878639.1759186364,0.0,0.0,15761782.685957361,0.0,11634038.089839667,0.0,0.0,8000.0,6000.0,2.9103830456733704e-11,314
2026-07-10,56119545.04948641,29039922.11702275,27079622.93246367,1951497.1089659561,0.0,0.0,16373060.744224373,0.0,12666861.372798376,1841134.675410565,0.0,0.0,15447119.92669464,0.0,11632503.00576903,0.0,0.0,8000.0,6000.0,2.9103830456733704e-11,290
2026-07-11,58210115.26518479,30922673.13083535,27287442.134349443,2196933.267181908,0.0,0.0,18432270.111656208,0.0,12490403.019179143,1862810.3847540505,0.0,0.0,15628979.128086485,0.0,11658463.006262958,0.0,0.0,8000.0,6000.0,2.9103830456733704e-11,309
2026-07-12,60778584.877687424,33367867.935130235,27410716.94255719,2477213.1231421707,0.0,0.0,20783818.103162814,0.0,12584049.83196742,1876319.7197826514,0.0,0.0,15742322.448976446,0.0,11668394.493580744,0.0,0.0,8000.0,6000.0,5.820766091346741e-11,321
2026-07-13,60161123.19140739,32714081.982078835,27447041.209328555,2401883.3890456297,0.0,0.0,20151801.634092834,0.0,12562280.347986002,1879069.6022354944,0.0,0.0,15765393.9627558,0.0,11681647.246572753,0.0,0.0,8000.0,6000.0,2.9103830456733704e-11,317
