nodeId,household_id,month,baseline_bill_bdt,optimised_bill_bdt,saving_bdt,saving_pct,energy_kwh,energy_shifted_kwh,energy_curtailed_kwh,discomfort_bdt_eq,mean_temp_c,max_temp_c,hot_days,mean_humidity_pct,rain_mm,label
BILL_KHH0045_2024_01,KHH0045,2024-01,1665.0,1397.2,267.8,16.08,196.8,31.18,13.43,218.8,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0046_2024_01,KHH0046,2024-01,1202.4,1025.2,177.1,14.73,143.0,19.3,9.42,143.2,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0047_2024_01,KHH0047,2024-01,1766.8,1656.2,110.6,6.26,214.3,11.17,6.24,88.4,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0048_2024_01,KHH0048,2024-01,1746.6,1531.8,214.8,12.3,205.4,42.4,3.69,195.4,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0049_2024_01,KHH0049,2024-01,1934.0,1805.2,128.8,6.66,221.8,21.41,3.18,107.9,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0050_2024_01,KHH0050,2024-01,2184.9,1919.8,265.1,12.13,246.6,32.71,11.16,209.0,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0051_2024_01,KHH0051,2024-01,1667.8,1511.1,156.7,9.39,197.5,30.99,2.66,142.6,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0052_2024_01,KHH0052,2024-01,945.4,790.5,154.9,16.39,110.1,25.55,4.71,135.2,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0053_2024_01,KHH0053,2024-01,1198.7,1084.3,114.3,9.54,135.0,14.58,4.62,90.7,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0054_2024_01,KHH0054,2024-01,1276.1,1118.0,158.0,12.38,152.4,15.2,9.23,125.4,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0055_2024_01,KHH0055,2024-01,3284.8,3081.0,203.9,6.21,240.9,22.95,2.57,109.8,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0056_2024_01,KHH0056,2024-01,2884.4,2519.6,364.8,12.65,204.3,24.61,11.3,177.6,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0057_2024_01,KHH0057,2024-01,1423.0,1301.5,121.5,8.54,173.3,19.25,4.01,105.1,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0058_2024_01,KHH0058,2024-01,803.0,713.3,89.8,11.18,94.6,10.0,4.69,72.8,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0059_2024_01,KHH0059,2024-01,900.3,808.2,92.1,10.23,112.6,8.37,6.07,76.0,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0060_2024_01,KHH0060,2024-01,1169.2,1000.7,168.4,14.41,137.0,31.67,3.54,151.4,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0061_2024_01,KHH0061,2024-01,2330.9,2161.7,169.2,7.26,166.3,16.25,3.27,87.9,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0062_2024_01,KHH0062,2024-01,1001.0,886.8,114.2,11.41,123.0,20.94,3.22,106.3,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0063_2024_01,KHH0063,2024-01,1189.2,1085.7,103.6,8.71,148.0,20.45,2.33,98.1,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0064_2024_01,KHH0064,2024-01,1205.0,1089.8,115.2,9.56,144.5,13.13,5.89,93.8,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0065_2024_01,KHH0065,2024-01,1574.8,1349.8,225.0,14.29,183.5,34.88,7.75,193.8,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0066_2024_01,KHH0066,2024-01,1025.5,907.3,118.2,11.53,128.7,24.28,2.27,113.0,17.5,25.6,0,80.6,0.7,MonthlyBill
BILL_KHH0067_2024_01,KHH0067,2024-01,1375.2,1131.0,244.2,17.76,160.1,26.58,13.01,197.4,17.5,25.6,0,80.6,0.7,MonthlyBill
