date,actual_mw,pred_mw,pred_mw_k1,robust_mw_k1,pred_mw_k2,robust_mw_k2,pred_mw_k3,robust_mw_k3,pred_mw_k4,robust_mw_k4,pred_mw_k5,robust_mw_k5,pred_mw_k6,robust_mw_k6,pred_mw_k7,robust_mw_k7,pred_mw_k8,robust_mw_k8,pred_mw_k9,robust_mw_k9,pred_mw_k10,robust_mw_k10,pred_mw_k11,robust_mw_k11,pred_mw_k12,robust_mw_k12,pred_mw_k13,robust_mw_k13,pred_mw_k14,robust_mw_k14,pred_mw_k15,robust_mw_k15
2019-11-29,77.0,70.62,70.62,83.872,70.781,85.207,71.287,86.469,71.493,87.159,71.504,87.438,71.54,87.75,71.615,88.075,71.747,88.362,71.775,88.537,71.844,88.843,71.888,88.744,71.946,88.822,71.94,88.81,71.895,88.837,71.971,89.161
2019-11-30,76.0,69.827,69.827,83.078,70.054,84.48,70.516,85.698,70.721,86.387,70.799,86.733,70.803,87.013,70.891,87.351,71.049,87.663,71.087,87.848,71.158,88.157,71.245,88.102,71.307,88.183,71.297,88.167,71.304,88.245,71.336,88.527
2019-12-01,75.0,70.354,70.354,83.606,70.564,84.99,71.033,86.215,71.223,86.888,71.321,87.255,71.317,87.527,71.416,87.876,71.538,88.152,71.557,88.319,71.639,88.638,71.73,88.586,71.799,88.675,71.831,88.702,71.829,88.77,71.889,89.079
2019-12-02,66.0,69.539,69.539,82.791,69.831,84.257,70.247,85.429,70.45,86.116,70.638,86.571,70.602,86.811,70.719,87.178,70.864,87.478,70.915,87.677,70.997,87.996,71.139,87.996,71.202,88.078,71.23,88.1,71.303,88.244,71.313,88.503
2019-12-03,72.0,68.021,68.021,81.272,68.285,82.711,68.739,83.921,68.945,84.611,69.135,85.069,69.107,85.317,69.228,85.688,69.389,86.003,69.45,86.211,69.521,86.52,69.681,86.538,69.757,86.633,69.786,86.657,69.866,86.807,69.923,87.114
2019-12-04,72.0,67.953,67.953,81.205,68.216,82.642,68.675,83.857,68.884,84.55,69.078,85.011,69.052,85.262,69.175,85.635,69.336,85.951,69.398,86.16,69.469,86.468,69.631,86.488,69.707,86.583,69.739,86.609,69.82,86.762,69.883,87.074
2019-12-05,66.0,68.816,68.816,82.068,69.105,83.531,69.543,84.725,69.761,85.427,69.96,85.893,69.934,86.144,70.058,86.518,70.218,86.832,70.279,87.041,70.355,87.354,70.509,87.366,70.574,87.45,70.598,87.468,70.685,87.626,70.718,87.909
2019-12-06,75.0,68.559,68.559,81.81,68.843,83.269,69.286,84.468,69.503,85.169,69.697,85.631,69.673,85.883,69.795,86.255,69.959,86.573,70.023,86.784,70.096,87.095,70.251,87.108,70.318,87.194,70.339,87.209,70.424,87.366,70.462,87.653
2019-12-07,81.0,68.661,68.661,81.912,68.948,83.374,69.386,84.568,69.603,85.269,69.796,85.73,69.771,85.98,69.892,86.351,70.056,86.67,70.119,86.881,70.193,87.192,70.346,87.203,70.411,87.287,70.43,87.3,70.515,87.457,70.547,87.738
2019-12-08,78.0,69.795,69.795,83.046,70.066,84.492,70.491,85.673,70.677,86.343,70.879,86.812,70.835,87.045,70.96,87.419,71.076,87.69,71.109,87.871,71.199,88.198,71.346,88.202,71.419,88.294,71.483,88.353,71.545,88.486,71.582,88.773
