household_id,substation,category,archetype,w_h,lambda_h,gamma_sh_h,gamma_cu_h,y_max_h,tariff_class,baseline_kwh,optimised_kwh,energy_shifted_kwh,energy_curtailed_kwh,n_shift_slots,n_curtail_slots,discomfort_J2_tk,incentive_received_tk,n_dr_events,income_band,monthly_income_bdt,household_size,peak_baseline_kw,peak_optimised_kw,connected_load_kw,J1_baseline_tk,J1_optimised_tk,rebate_tk,marginal_rate_tk_per_kwh,period_days,scale_to_30d,baseline_kwh_30d,optimised_kwh_30d,bill_baseline_tk,bill_optimised_tk,surcharge_tk,energy_charge_baseline_tk,energy_charge_optimised_tk,eff_rate_baseline,eff_rate_optimised,slab_baseline,slab_optimised,saving_tk,saving_pct,J1_saving_tk,energy_saving_kwh,energy_saving_pct,peak_reduction_kw,peak_reduction_pct,qoe,qoe_ok,net_benefit_tk,gained,saving_per_discomfort,participated
DHNC0011,Dhanmondi,Residential,Res-A,624.1576541510876,0.6763234182197071,2.935853807947811,24.271367128504394,0.42214941277038187,LT-A,690.4289744691732,586.8646282987971,0.0,103.564346170376,0,415,2513.6482673247133,101.43472834826431,30,upper-middle,95554.41103186182,6,3.418409534234189,3.3836519344831615,4.455099999999999,11978.942707040156,10080.66657263587,101.43472834826431,17.35,30,1.0,690.4289744691732,586.8646282987971,8563.859752392164,6709.449884303192,0.0,7968.942707040156,6202.838070764945,12.403679551508349,11.432704512712824,601-above,401-600,1854.409868088971,21.653902816086806,1898.2761344042865,103.5643461703761,15.000000000000018,0.034757599751027435,1.016776936845691,0.85,True,-557.8036708874779,False,0.7377364176980209,True
DHNC0012,Dhanmondi,Residential,Res-A,624.1576541510876,0.6406138095796461,3.303330513430092,20.105010178609128,0.4954218525619628,LT-A,336.5922487652551,286.10341145046704,0.0,50.488837314788285,0,630,1015.0785881199591,49.795859500862285,30,upper-middle,188456.64553100435,6,1.3637284878893277,1.35189932277898,3.5451,3238.0174331217554,2702.51895865263,49.795859500862285,9.62,30,1.0,336.5922487652551,286.10341145046704,3083.757214777842,2581.3570064092128,0.0,2788.017433121754,2309.54104419925,9.161700027526495,9.02246147056559,301-400,201-300,502.40020836862914,16.291821092823053,535.4984744691255,50.48883731478804,14.999999999999934,0.011829165110347706,0.8674135075564757,0.8499999999999999,True,-462.8825202504677,False,0.4949372533796929,True
DHNC0013,Dhanmondi,Residential,Res-B,624.1576541510876,0.3915077362892898,1.524851568374287,18.5992688759111,0.3843334496920734,LT-A,145.45964945767895,130.94080760654896,0.0,14.518841851129963,0,569,270.039843355997,21.65553943024305,20,middle,56871.27210808263,5,0.7146427167428703,0.7146427167428703,1.195,1236.407020390271,1091.3413252254234,21.65553943024305,8.5,30,1.0,145.45964945767895,130.94080760654896,1168.2268714097847,1038.6462078884495,0.0,1062.407020390271,938.9968646556662,8.031277923226927,7.93218116547268,76-200,76-200,129.58066352133528,11.092080373477527,145.06569516484774,14.518841851129991,9.98135352674159,0.0,0.0,0.9001864647325843,True,-118.80364040441867,False,0.47985757179731225,True
DHNC0014,Dhanmondi,Residential,Res-B,624.1576541510876,0.36902077316078064,0.7955684821579617,15.397737546272936,0.46319268472055414,LT-A,316.0103882859033,271.7702572562653,0.0,44.240131029637894,0,659,681.1979266070897,46.76243099035531,28,middle,32958.08792034221,5,1.6942064457208377,1.6942064457208377,3.5551000000000004,3040.0199353103894,2567.6674438149166,46.76243099035531,9.62,30,1.0,316.0103882859033,271.7702572562653,2876.3008420759093,2444.844718083615,0.0,2590.0199353103894,2179.1093410320145,9.101918635262209,8.995998100624575,301-400,201-300,431.4561239922941,15.000382355028615,472.3524914954728,44.24013102963795,13.999581238327105,0.0,0.0,0.8600041876167291,True,-202.97937162444026,False,0.6333785044550716,True
DHNC0015,Dhanmondi,Residential,Res-A,624.1576541510876,0.5714789986440996,1.5075346950096113,24.231295859235075,0.5204410757988093,LT-A,391.511785526636,332.7850176976407,0.0,58.72676782899541,0,378,1423.0256861209964,57.736550463801656,30,upper-middle,86315.65832621802,4,2.502401967268412,2.4697398546360683,3.9000000000000004,3766.3433767662386,3143.655319787501,57.736550463801656,9.62,30,1.0,391.511785526636,332.7850176976407,3654.15054560455,3060.9514637638686,0.0,3316.343376766238,2751.3918702513033,9.333436899451765,9.197984587590312,301-400,301-400,593.1990818406816,16.233569866305043,622.6880569787377,58.72676782899532,14.99999999999998,0.03266211263234364,1.3052304569596052,0.85,True,-772.0900538165131,False,0.4168576067363013,True
DHNC0016,Dhanmondi,Residential,Res-A,624.1576541510876,0.5416387159827546,1.0228439314215705,23.81092409961633,0.4116945400745224,LT-A,372.73071454802323,320.55200404611173,0.0,52.17871050191143,0,644,1242.4233153768669,54.91213305741438,28,upper-middle,115823.23975269352,4,1.8230166346297605,1.8096788031315518,4.4962,3585.6694739519835,3028.798145866181,54.91213305741438,9.62,30,1.0,372.73071454802323,320.55200404611173,3490.7353676495827,2963.678212869775,0.0,3135.6694739519835,2633.710278923595,9.365301091117434,9.245545731928873,301-400,301-400,527.0571547798077,15.09874279397728,556.8713280858024,52.178710501911496,13.999036962967727,0.013337831498208663,0.7316352053428995,0.8600096303703229,True,-660.4540275396448,False,0.4242170508687969,True
DHNC0017,Dhanmondi,Residential,Res-C,624.1576541510876,0.17081594150314702,2.4664128596869523,26.455870418199734,0.31032692758915814,LT-A,150.6071114869952,150.6071114869952,0.0,0.0,0,0,0.0,0.0,0,lower-middle,13944.236553148334,4,0.5631933753053917,0.5631933753053917,1.1295,1280.160447639459,1280.160447639459,0.0,8.5,30,1.0,150.6071114869952,150.6071114869952,1211.279420021432,1211.279420021432,0.0,1106.160447639459,1106.160447639459,8.0426442553878,8.0426442553878,76-200,76-200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0,False,,False
DHNC0018,Dhanmondi,Residential,Res-A,624.1576541510876,0.575028765612648,2.197908568222487,17.259161092491286,0.4889921616896839,LT-A,382.47620718636756,325.10477610841247,0.0,57.37143107795516,0,494,990.1827710811889,56.48968727664932,30,upper-middle,174129.2535701469,5,2.9929097036806,2.9046637378345057,5.945099999999999,3679.4211131328548,3071.018258886277,56.48968727664932,9.62,30,1.0,382.47620718636756,325.10477610841247,3653.071078789498,3073.562253471074,0.0,3229.4211131328557,2677.507946162928,9.551106735926927,9.454066748149327,301-400,301-400,579.508825318424,15.86360661535371,608.4028542465776,57.371431077955094,14.99999999999999,0.08824596584609434,2.9485007762703908,0.85,True,-354.1842584861156,False,0.5852544017562065,True
DHNC0019,Dhanmondi,Residential,Res-A,624.1576541510876,0.5590035105538307,1.7186876877624453,20.829075826963038,0.40224982004657134,LT-A,331.06943740571273,281.4090217948558,0.0,49.66041561085692,0,741,1034.3805623570374,49.03425230556408,30,upper-middle,131681.0998399135,6,1.6063585374654497,1.6063585374654497,4.1309000000000005,3184.887987842956,2658.1205373609487,49.03425230556408,9.62,30,1.0,331.06943740571273,281.4090217948558,3053.8050772351044,2562.3358932498472,0.0,2734.8879878429566,2266.8220983331876,9.224062182136084,9.105379340388607,301-400,201-300,491.46918398525713,16.09366582199248,526.7674504820075,49.660415610856944,15.00000000000001,0.0,0.0,0.85,True,-493.8771260662162,False,0.4751338161898063,True
DHNC0020,Dhanmondi,Residential,Res-B,624.1576541510876,0.33135484885745176,1.721005366241059,23.971183049516252,0.37614283317146147,LT-A,148.20254926565374,148.20254926565374,0.0,0.0,0,0,0.0,0.0,0,middle,34057.8866208613,5,0.7031061830859144,0.7031061830859144,2.2202,1259.7216687580567,1259.7216687580567,0.0,8.5,30,1.0,148.20254926565374,148.20254926565374,1237.9185721959595,1237.9185721959595,0.0,1085.7216687580567,1085.7216687580567,8.352883120633674,8.352883120633674,76-200,76-200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0,False,,False
