substation,date,peak_baseline_kw,peak_post_kw,peak_reduction_kw,peak_reduction_pct,peak_slot_baseline,peak_slot_post,peak_shifted_not_shaved
Dhanmondi,2026-07-12,129487.77857926104,120301.50935174664,9186.269227514393,7.094313709221111,25,25,False
Dhanmondi,2026-07-13,129718.08595112522,124670.74326684228,5047.342684282936,3.8910092199361146,25,25,False
Kalyanpur,2026-06-14,135009.44043522017,127548.2265175012,7461.213917718967,5.526438665079118,37,37,False
Kalyanpur,2026-06-15,136956.2683662112,129117.33927911684,7838.929087094366,5.723673096972556,37,37,False
Kalyanpur,2026-06-16,136406.42921498578,129587.48693454768,6818.942280438103,4.998988918396938,37,37,False
Kalyanpur,2026-06-17,137288.96126579295,127020.512440275,10268.44882551796,7.479442433567641,37,37,False
Kalyanpur,2026-06-18,136353.5186576026,127218.35280864216,9135.165848960445,6.699618710903798,37,37,False
Kalyanpur,2026-06-19,133471.84842729656,126935.5457874832,6536.302639813352,4.897139521802412,37,37,False
Kalyanpur,2026-06-20,139604.2956686311,128771.27466073656,10833.021007894538,7.759804922914492,37,37,False
Kalyanpur,2026-06-21,137878.86090686743,128644.8036261987,9234.057280668727,6.697224810194816,37,37,False
Kalyanpur,2026-06-22,135546.78899711053,127854.50917091014,7692.279826200393,5.67499966846457,37,37,False
Kalyanpur,2026-06-23,137914.87723723636,127014.85558488918,10900.021652347175,7.903441507327261,37,37,False
Kalyanpur,2026-06-24,136684.23782415845,128640.31612820028,8043.921695958168,5.885039726604405,37,37,False
Kalyanpur,2026-06-25,137785.0087245656,130207.04069904848,7577.9680255171115,5.499849436207962,37,37,False
Kalyanpur,2026-06-26,138114.41795992616,130303.09933622924,7811.3186236969195,5.655686595995626,37,37,False
Kalyanpur,2026-06-27,141325.58157751698,132574.5425823294,8751.038995187584,6.192112494784,37,37,False
Kalyanpur,2026-06-28,139965.87460429946,127061.2194989386,12904.655105360856,9.219858156028307,37,26,False
Kalyanpur,2026-06-29,138000.0,127999.99999999993,10000.000000000073,7.2463768115942555,37,37,False
Kalyanpur,2026-06-30,133556.28936044028,122600.1874826094,10956.101877830879,8.203358995893236,37,37,False
Kalyanpur,2026-07-01,133458.031254374,123939.45610152085,9518.57515285314,7.13226102872035,37,37,False
Kalyanpur,2026-07-02,133405.5263938596,126148.44024246956,7257.086151390031,5.439869207490389,37,37,False
Kalyanpur,2026-07-03,133301.23000595925,126349.99222424065,6951.237781718606,5.214683901572289,37,37,False
Kalyanpur,2026-07-04,133260.5593790247,124803.2859353416,8457.273443683094,6.346418987803135,37,37,False
Kalyanpur,2026-07-05,133295.4588488346,126278.27598832504,7017.182860509551,5.264382538693592,37,37,False
Kalyanpur,2026-07-06,133315.011494508,125731.12801963012,7583.88347487789,5.688694311210641,37,37,False
Kalyanpur,2026-07-07,133415.7381586025,124850.64356117992,8565.094597422576,6.4198532464292395,37,37,False
Kalyanpur,2026-07-08,133567.57274270555,125499.9303788555,8067.642363850056,6.040120515921144,37,37,False
Kalyanpur,2026-07-09,133821.72931287644,125283.03131082468,8538.698002051766,6.38065136797643,37,37,False
Kalyanpur,2026-07-10,133914.59014067345,126292.92817200118,7621.66196867227,5.691435086099231,37,37,False
Kalyanpur,2026-07-11,134107.91191879244,127432.36375472616,6675.5481640662765,4.9777437203769015,37,37,False
Kalyanpur,2026-07-12,134203.09806311698,125789.05296773525,8414.045095381734,6.2696355127543555,37,37,False
Kalyanpur,2026-07-13,134337.85607120892,125689.34448584568,8648.511585363245,6.4378812036265485,37,37,False
