substation,date,peak_baseline_kw,peak_post_kw,peak_reduction_kw,peak_reduction_pct,peak_slot_baseline,peak_slot_post,peak_shifted_not_shaved
Kalyanpur,2026-06-14,135009.44043522017,124746.6679507295,10262.772484490662,7.601522124236131,37,34,False
Kalyanpur,2026-06-15,136956.2683662112,127028.16945965258,9928.098906558633,7.249101501518434,37,34,False
Kalyanpur,2026-06-16,136406.42921498578,127946.8110477569,8459.61816722888,6.201773784354364,37,26,False
Kalyanpur,2026-06-17,137288.96126579295,127612.87828200872,9676.082983784232,7.047968674663673,37,34,False
Kalyanpur,2026-06-18,136353.5186576026,126874.6954409448,9478.82321665781,6.951652813932941,37,26,False
Kalyanpur,2026-06-19,133471.84842729656,123383.87936879696,10087.969058499599,7.558124935982,37,34,False
Kalyanpur,2026-06-20,139604.2956686311,131017.0396937069,8587.255974924192,6.151140216564079,37,34,False
Kalyanpur,2026-06-21,137878.86090686743,130046.17560474384,7832.6853021235875,5.680845671777275,37,26,False
Kalyanpur,2026-06-22,135546.78899711053,125600.60997413818,9946.179022972356,7.3378197274628025,37,34,False
Kalyanpur,2026-06-23,137914.87723723636,129693.0444862717,8221.832750964662,5.9615270779103495,37,26,False
Kalyanpur,2026-06-24,136684.23782415845,127242.92894429104,9441.308879867414,6.907386711270593,37,34,False
Kalyanpur,2026-06-25,137785.0087245656,129722.18468801652,8062.824036549064,5.851742588823126,37,26,False
Kalyanpur,2026-06-26,138114.41795992616,129423.96164187802,8690.456318048135,6.29221514047119,37,26,False
Kalyanpur,2026-06-27,141325.58157751698,132421.00399580962,8904.577581707359,6.300754245842749,37,34,False
Kalyanpur,2026-06-28,139965.87460429946,130859.20758884725,9106.667015452214,6.506348094632259,37,34,False
Kalyanpur,2026-06-29,138000.0,129523.0339249599,8476.966075040094,6.142729039884127,37,26,False
Kalyanpur,2026-06-30,133556.28936044028,123693.90751340012,9862.38184704016,7.384438347507297,37,34,False
Kalyanpur,2026-07-01,133458.031254374,123582.61752152452,9875.413732849469,7.3996399017955765,37,34,False
Kalyanpur,2026-07-02,133405.5263938596,123534.31188500984,9871.21450884975,7.3994044892162,37,34,False
Kalyanpur,2026-07-03,133301.23000595925,123311.98656480336,9989.243441155893,7.493736885030485,37,34,False
Kalyanpur,2026-07-04,133260.5593790247,123370.2635247704,9890.295854254291,7.421772728811635,37,34,False
Kalyanpur,2026-07-05,133295.4588488346,123424.1572727986,9871.301576035985,7.405579800907291,37,34,False
Kalyanpur,2026-07-06,133315.011494508,123474.30231158968,9840.709182918334,7.381546213438782,37,34,False
Kalyanpur,2026-07-07,133415.7381586025,123601.56415235752,9814.174006244983,7.3560841784483095,37,34,False
Kalyanpur,2026-07-08,133567.57274270555,123223.73233648692,10343.840406218631,7.744275196303987,37,34,False
Kalyanpur,2026-07-09,133821.72931287644,123501.6201052844,10320.109207592046,7.711833691420572,37,34,False
Kalyanpur,2026-07-10,133914.59014067345,123588.6242282442,10325.965912429252,7.7108595124565,37,34,False
Kalyanpur,2026-07-11,134107.91191879244,123829.41878873888,10278.493130053554,7.66434506584338,37,34,False
Kalyanpur,2026-07-12,134203.09806311698,123919.54385466684,10283.554208450136,7.662680189106874,37,34,False
Kalyanpur,2026-07-13,134337.85607120892,124068.70345405272,10269.1526171562,7.644273116665489,37,34,False
