model,seed,train_r2,train_rmse,train_mae,train_n,val_r2,val_rmse,val_mae,val_n,test_r2,test_rmse,test_mae,test_n,substation
CNN+BiGRU+BiLSTM,42,0.6890482991561675,35.92241264355165,24.47243279233435,1289,0.5084068731805064,45.17205607967404,26.843033361304755,269,0.5890091094707823,19.431351864271573,16.175920969515005,536,Bashundhara
BiLSTM,42,0.8317093281527608,15.434065649233874,11.88830210976276,1395,0.7001373406665018,16.304281176895703,11.213196044115564,271,0.8078346129637936,12.89440998337203,9.925867985633777,536,Dhanmondi
BiGRU,42,0.8493298034456112,14.603736845521203,10.949814821727388,1395,0.7319317217606651,15.415697326836915,10.46974936538957,271,0.8342948749766752,11.973796216703246,9.180888956423798,536,Dhanmondi
BiLSTM+BiGRU,42,0.8386585476785133,15.112047224465947,11.500820554661496,1395,0.7134424261761341,15.938461878700673,10.951959944387205,271,0.8173727917432525,12.570328647880446,9.718330860510472,536,Dhanmondi
BiGRU+BiLSTM,42,0.8670042126924136,13.720478685255602,10.227750088234957,1395,0.7245246097832153,15.627225021469721,10.56499777398866,271,0.8410749788767585,11.72627381850005,8.753324118406695,536,Dhanmondi
CNN+BiLSTM+BiGRU,42,0.900830854635392,11.847824334421466,8.530280682119846,1395,0.7135396251743986,15.935758523314401,10.082425757142891,271,0.8716875086520939,10.536548265916654,7.665643407215381,536,Dhanmondi
CNN+BiGRU+BiLSTM,42,0.8558581120694313,14.283854711532408,10.668459650865593,1395,0.7128779913291184,15.954151217400856,10.45819942114318,271,0.8425261907353097,11.67261224288719,8.991077717599365,536,Dhanmondi
BiLSTM,42,0.8333767651092394,9.912240194685145,7.263465494071881,1351,0.7072239751513625,15.228478498429578,10.217567614963574,271,0.7848068380560409,12.981164986049663,9.58986212591182,536,Gulshan
BiGRU,42,0.8638106549616209,8.961394619540663,6.476076819471392,1351,0.758741501384731,13.823883651592139,9.275712425198503,271,0.847706572591387,10.920436970526104,8.035657472241281,536,Gulshan
BiLSTM+BiGRU,42,0.8529427731656751,9.312091237545115,6.801830456841,1351,0.7368954089370181,14.4362027437166,9.577958738012068,271,0.8213901491245535,11.826388461230046,8.733404574109548,536,Gulshan
BiGRU+BiLSTM,42,0.8556437436255365,9.226178270919293,6.6586924724716505,1351,0.7391128646336438,14.375239583676839,9.627493931138648,271,0.8260073274277637,11.672527767741883,8.599195646483507,536,Gulshan
CNN+BiLSTM+BiGRU,42,0.8799581473309125,8.413377606799383,5.963202627167536,1351,0.7763656782673072,13.309384992572042,8.526513954370223,271,0.8571473140746695,10.576540614255725,7.551530561006781,536,Gulshan
CNN+BiGRU+BiLSTM,42,0.8862422176008091,8.190201660009416,5.784331356482008,1351,0.7701564551687972,13.49288798773812,8.433784299890933,271,0.8629812621462392,10.358322242284025,7.482659619913172,536,Gulshan
BiLSTM,42,0.9279089525202021,11.33878969592033,8.06246278756497,1358,0.6767768393697065,9.605378067856389,7.395834222930824,271,0.5176803037926101,9.114112226973855,7.086776256828166,536,Hasnabad
BiGRU,42,0.925395121992491,11.534788737718225,8.245904129278326,1358,0.6914837517761512,9.384307881470596,7.204896898287249,271,0.5485830884408023,8.81730341911428,6.782023527106244,536,Hasnabad
BiLSTM+BiGRU,42,0.928435766922527,11.297283913339049,8.065740645019575,1358,0.6887595630629636,9.425648394064527,7.246480356943123,271,0.5404000001588836,8.896862594423402,6.903371452773685,536,Hasnabad
BiGRU+BiLSTM,42,0.7844477104931306,19.606602877829584,14.042645882239047,1358,0.6527967591660347,9.955317427656725,7.735137806937264,271,0.45864958731674976,9.655752148517037,7.386005163515238,536,Hasnabad
CNN+BiLSTM+BiGRU,42,0.9254854256043673,11.527805625429364,8.281821848805418,1358,0.666327164028461,9.759412019839726,7.655961939549534,271,0.47472275978951994,9.511328141759305,7.391619682801304,536,Hasnabad
CNN+BiGRU+BiLSTM,42,0.9275517944567103,11.366842670789833,8.14179477538908,1358,0.6534003304990077,9.946660599110592,7.7584856979521435,271,0.4552063796007916,9.686410721290809,7.66374152347223,536,Hasnabad
BiLSTM,42,0.8598461672876829,7.077104713920297,5.103450073107802,1398,0.8629707005586224,8.05769015789,5.530537102715117,271,0.8455415421936766,7.186484706535935,5.497100573311103,536,Kalyanpur
BiGRU,42,0.8772691927043197,6.622621392651944,4.6309350533291,1398,0.8719001801401786,7.790729117632996,5.329753230418665,271,0.8623539158641713,6.78410543573094,5.077269595950397,536,Kalyanpur
BiLSTM+BiGRU,42,0.8680211965740641,6.867603692716123,4.879120876860723,1398,0.8669842884162595,7.938808313365813,5.434045979457588,271,0.8556416098525823,6.947549883122984,5.283118530774296,536,Kalyanpur
BiGRU+BiLSTM,42,0.8693498346732152,6.832947973887261,4.886768664498528,1398,0.8669902011753776,7.938631865101403,5.486328066715013,271,0.8585999369529056,6.875993541642897,5.168261246227505,536,Kalyanpur
CNN+BiLSTM+BiGRU,42,0.8766434044227046,6.639483863829303,4.702307899323999,1398,0.8628536574512253,8.06113064761934,5.5352117513818495,271,0.8517410217141818,7.040786252361866,5.285764705667747,536,Kalyanpur
CNN+BiGRU+BiLSTM,42,0.8811956854453317,6.515822405087072,4.545430795317557,1398,0.866524953745563,7.952503790261188,5.504573244450277,271,0.8516337316840346,7.043333381587815,5.277410626633841,536,Kalyanpur
BiLSTM,42,0.765074452659801,8.131659597513318,5.947917458139179,1398,0.6539085676216372,10.631446913007972,7.99759046836373,272,0.6412694280173432,8.077883445735852,6.298897911484937,527,Lalbag
BiGRU,42,0.8002215204457319,7.498742114742778,5.1974233653949575,1398,0.7724774551303999,8.620037777443434,6.6436113897009825,272,0.7142392356290024,7.209658383772787,5.766894196935236,527,Lalbag
BiLSTM+BiGRU,42,0.7905388664311717,7.678312637037838,5.403699281831967,1398,0.7380970282792272,9.248411901021145,7.042934103494183,272,0.7481877223202487,6.767867353487855,5.203343676579178,527,Lalbag
BiGRU+BiLSTM,42,0.7981025654275176,7.538405010774032,5.238601586458212,1398,0.7675283616231069,8.713285391162938,6.7144326021062115,272,0.7298606483920642,7.009827229603199,5.610143741573959,527,Lalbag
CNN+BiLSTM+BiGRU,42,0.8331421086950896,6.853105883383693,4.593804750398803,1398,0.7426941486770655,9.166884977368525,6.815991490234568,272,0.7534384589373417,6.696934563803245,5.082252267188545,527,Lalbag
CNN+BiGRU+BiLSTM,42,0.8293561373194269,6.930417580918816,4.709156558804629,1398,0.742050456426544,9.17834403871561,6.979937793716573,272,0.7576376422550755,6.639662003849471,4.980342136153798,527,Lalbag
BiLSTM,42,0.8668299702398705,5.664896548180142,4.087922893863498,1394,0.80416216096727,6.963780471672998,5.011619302218452,272,0.8665670238308072,5.715065124267476,4.485267353649393,528,Madartek
BiGRU,42,0.883256628954439,5.304016295518722,3.7019585935029613,1394,0.8284506552989686,6.517653968180493,4.517820113125969,272,0.88315251624635,5.348097047539029,4.144696218795849,528,Madartek
BiLSTM+BiGRU,42,0.8782470110451054,5.416622266085841,3.806843439364536,1394,0.8109748494029615,6.8415824329088455,4.867945131580619,272,0.8768485418126898,5.490468148416554,4.310682075122992,528,Madartek
BiGRU+BiLSTM,42,0.873360594159194,5.524247997918166,3.9411820080683944,1394,0.8156495787180625,6.756454164739824,4.744858721258008,272,0.8784853802535694,5.453858465713382,4.2596684236192335,528,Madartek
CNN+BiLSTM+BiGRU,42,0.8557546644979681,5.8957576598416,4.319582742113979,1394,0.7903959330976694,7.2043801365747955,5.238316745240899,272,0.8619281953284137,5.813559180844715,4.613884661576964,528,Madartek
CNN+BiGRU+BiLSTM,42,0.8777279641875749,5.428155825730418,3.760071563021182,1394,0.7747725237183878,7.468054057711229,5.5516074827050454,272,0.8588021835170654,5.879001724024691,4.623035877626953,528,Madartek
BiLSTM,42,0.8012406280456805,7.92006835633232,5.7064451593023815,1394,0.7041881856979598,7.8160686880513435,5.832151426270439,271,0.789527684658255,6.629913101801779,5.0520115757556185,525,Maniknagar
BiGRU,42,0.8231999518401627,7.469754206232719,5.224026786353189,1394,0.7314204276732064,7.447612955652359,5.5225653356951545,271,0.8169443265659547,6.183038398154802,4.727577748185112,525,Maniknagar
BiLSTM+BiGRU,42,0.8218393979312257,7.498440640623599,5.24868389299217,1394,0.7151165883942472,7.670332500751077,5.736718347591667,271,0.8021591829100798,6.427887916555081,4.894509655748095,525,Maniknagar
BiGRU+BiLSTM,42,0.8239337251731038,7.454237227054244,5.179534117216874,1394,0.7290747597208775,7.480064510575495,5.564901700868818,271,0.7997254199163684,6.467303791724346,4.951095127151126,525,Maniknagar
CNN+BiLSTM+BiGRU,42,0.8324008161021773,7.272790405033232,5.089985635735555,1394,0.7312189820012278,7.450405439401831,5.428664394740249,271,0.8050794897772895,6.380270867188126,4.937330990689142,525,Maniknagar
CNN+BiGRU+BiLSTM,42,0.8364609832616147,7.184156974711203,5.005142372598608,1394,0.7249218274515823,7.537176320316948,5.513146612257096,271,0.8048551399371068,6.383941597123933,4.8895564028194975,525,Maniknagar
BiLSTM,42,0.7615687509105562,6.628207836599436,4.9306321370755155,1398,0.5865909928200849,7.241866187930281,5.396487043009086,272,0.781914581199151,6.063415022860179,4.547378404178698,499,Matual
BiGRU,42,0.7832450241011729,6.319737927076834,4.5996237070349,1398,0.6608223468550296,6.559551467496678,4.870253751032494,272,0.8118064570517314,5.632566655255371,4.161031268115991,499,Matual
BiLSTM+BiGRU,42,0.7672498495560884,6.5487666565246965,4.881396229703712,1398,0.6289258090225052,6.8610550381726085,5.070091032631259,272,0.8034552204830316,5.756184915721226,4.302464150068518,499,Matual
BiGRU+BiLSTM,42,0.8023055410765672,6.035479502385627,4.354349193586644,1398,0.6863148072815066,6.3082302672379065,4.580914966849721,272,0.8319160834794768,5.32312984809179,3.9323574947928632,499,Matual
CNN+BiLSTM+BiGRU,42,0.8436055228207502,5.368157348773013,3.7586457061665253,1398,0.6608867744589128,6.558928436688451,4.5717626744333435,272,0.8342393379725691,5.286213712398227,3.8931081043694444,499,Matual
CNN+BiGRU+BiLSTM,42,0.8020510919458639,6.039362334227187,4.4692705989736705,1398,0.6650155864108208,6.518877630039046,4.630193773087334,272,0.8075034417009015,5.696596584535571,4.244357043564441,499,Matual
