substation,model,horizon_days,train_r2,val_r2,val_rmse,test_r2,test_rmse,test_mae,val_mape,test_mape,sigma_k_mw,z_beta_sigma_mw
Agargaon,BiLSTM+BiGRU,14,0.6560926154072412,0.4883743621622274,14.951697566771669,0.07849066143146055,14.838098281459635,12.952645471423295,12.6773408254918,12.477568138413872,13.2935,17.0363
Agargaon,BiLSTM+BiGRU,15,0.6465625464204057,0.46630475602978194,15.217069261481404,0.010913312877916526,15.332820894572567,13.401316274013151,12.86021900688747,12.860833235703545,13.3638,17.1264
Agargaon,BiGRU+BiLSTM,1,0.7301492293748362,0.6819372331093506,12.26235605012247,0.5436630671480027,10.684399070404982,9.213040815774558,10.729915464547455,9.18110024207176,11.5961,14.861
Agargaon,BiGRU+BiLSTM,2,0.7196736395476713,0.6478780874601737,12.874184187377695,0.502469561085094,11.144565247415049,9.590501211491954,11.178872906356565,9.521510546606102,12.1227,15.5358
Agargaon,BiGRU+BiLSTM,3,0.714822466486053,0.6039743164396213,13.616131919004921,0.4190018381354942,12.039245081952403,10.390228171245662,11.844778090759736,10.227105600299243,12.6245,16.1789
Agargaon,BiGRU+BiLSTM,4,0.6963606933021326,0.5991548328782914,13.648326079366333,0.4160051891702218,12.072826546377991,10.412248994487069,11.919658582002413,10.312117969674828,12.7852,16.3848
Agargaon,BiGRU+BiLSTM,5,0.6917517861724556,0.5757021098094854,13.99925787408537,0.3657565550628078,12.573619366165921,10.89228549726335,12.213609142121799,10.763126820731305,13.0175,16.6826
Agargaon,BiGRU+BiLSTM,6,0.6921997255794906,0.5736082849113489,13.98949290614691,0.36171302930695703,12.583768313663464,10.885774835195738,12.186590771588333,10.776490135423082,13.031,16.6999
Agargaon,BiGRU+BiLSTM,7,0.6863918659486388,0.5344247924900207,14.57443560879938,0.27222577814985705,13.419425656654168,11.6618314041141,12.626598666688269,11.44330291437882,13.3549,17.1149
Agargaon,BiGRU+BiLSTM,8,0.6885894660964268,0.5275202401727915,14.611433849715898,0.2768080181983532,13.361676506621697,11.575058893285261,12.45947158766558,11.349052646105,13.3395,17.0953
Agargaon,BiGRU+BiLSTM,9,0.6844116274615012,0.5080493061379654,14.85425209406712,0.22450235918032413,13.80400580744128,11.972500779342532,12.687683895178543,11.688305166976727,13.4374,17.2207
Agargaon,BiGRU+BiLSTM,10,0.6729892256827142,0.5231093011138516,14.561653428521772,0.2725260849183353,13.33493610888245,11.594588823998306,12.450840813036384,11.408285906969885,13.3904,17.1605
Agargaon,BiGRU+BiLSTM,11,0.6675544049541104,0.5259196084681239,14.505390228694239,0.22563979030040593,13.72764085787203,11.984718226419297,12.580124726362152,11.75297049812174,13.2862,17.0269
Agargaon,BiGRU+BiLSTM,12,0.6602061738590942,0.5296267305992484,14.392496456709594,0.2290744205449754,13.650437922918785,11.91189451931107,12.404494609993556,11.679366040970445,13.1851,16.8974
Agargaon,BiGRU+BiLSTM,13,0.6640854700426205,0.5126893572344509,14.656823216898482,0.17335447173994856,14.091061098042607,12.311002203924469,12.48923896567467,12.000334839362168,13.2726,17.0096
Agargaon,BiGRU+BiLSTM,14,0.6579522858420489,0.5150480682950684,14.556725788637753,0.18742983377038602,13.933454684757194,12.168107238682929,12.372331868660709,11.883550415878652,13.2363,16.963
