substation,model,train_r2,val_r2,val_rmse,val_mae,test_r2,test_rmse,test_mae,val_mape,test_mape,val_r2_lead1,val_r2_lead7,val_r2_lead15,test_r2_lead1,test_r2_lead7,test_r2_lead15,sigma_1_mw,sigma_15_mw,horizon,weight_mode,epochs_run,train_seconds
Bangabhaban,CNN+BiLSTM+BiGRU,0.6299705340103099,0.21325380495240567,6.684693261603803,5.073077525938863,0.45687385265933583,5.168409477402631,4.042371841549521,62.37045188202431,61.404871795389596,0.2691044297271621,0.1976885808513723,0.23552159330178246,0.5337787195094126,0.46186521800563873,0.4661464262869862,6.434468033623639,6.597123845579105,15,uniform,90,142.9
Bangabhaban,CNN+BiGRU+BiLSTM,0.5309786347208164,0.17968285073615498,6.825508360378527,5.351915877834782,0.3138092149628855,5.797312603655393,4.627778188884166,68.86120043691693,71.68888784537194,0.2023007502698827,0.14345099839304265,0.22095799626840973,0.4865958713275482,0.23560788047154324,0.46695309717547806,6.704260665155887,6.640101313642211,15,uniform,68,111.5
Bashundhara,BiLSTM,0.7137103239995441,0.5707383567470968,49.420123314753894,34.570890323619906,0.21634205142442067,26.261481242356886,21.288749796140713,261.875676249609,12.78983405920412,0.6508457991803638,0.5764133978323576,0.5121554065339565,0.49406789004276297,0.23393072008667348,0.0255276859629312,45.145693381025055,51.706288048829535,15,uniform,130,214.3
Bashundhara,BiGRU,0.691323207577738,0.5855294275086905,48.54847332671088,34.84635764941644,0.26659759612895795,25.417443844024547,20.057066734958937,271.81929385541514,12.304726008996342,0.6670139247759379,0.5995214986929776,0.5178138253634268,0.5190480655194276,0.2728755631105543,0.10720577410957999,44.21972783161986,51.66692908595972,15,uniform,100,156.3
Bashundhara,BiLSTM+BiGRU,0.6723281999853191,0.5679541201852808,49.55758382402036,33.29927687389591,0.04530209025117449,28.983294618227678,23.959372604039274,204.10411943990948,14.2409264525385,0.657561149373609,0.5813201948769566,0.49228298294046735,0.3950702710878392,0.05874333895545414,-0.1927388849939089,44.753369638936576,52.694779744510065,15,uniform,74,121.3
Bashundhara,BiGRU+BiLSTM,0.7049730827792554,0.5789848288292929,48.950634260376,35.29124887816001,0.23259505888722354,26.013331550997982,20.68013362972046,282.8144068929077,12.497121228880667,0.6505352340374736,0.5876572437419462,0.5190878354290203,0.4798779802746389,0.2219207929185284,0.07067994991068527,45.24189825691852,51.370332194826766,15,uniform,81,133.6
Bashundhara,CNN+BiLSTM+BiGRU,0.7066998065041084,0.5631352003934925,49.861353678756146,35.0222988156032,0.034547339888351875,29.2308494544971,24.158918239161547,274.92088327356964,14.17510834664237,0.6404547535457429,0.5689453192235554,0.5024758882753513,0.23162833202914002,0.06147876079350478,-0.1224656891749798,45.901345742495856,52.424427691052344,15,uniform,93,146.9
Bashundhara,CNN+BiGRU+BiLSTM,0.6909197736938086,0.5748329818689728,49.18539995736079,33.529223566063,0.017463858255308665,29.48472998330693,24.31641770999701,250.6299067012674,14.119546259147546,0.6481604941533499,0.5807961649585534,0.5150398134517735,0.2264113854815798,0.01561306988756117,-0.13769895686735367,45.25056366766804,51.46523390580152,15,uniform,61,99.3
Dhanmondi,BiLSTM,0.6187181861266434,0.36690355526708024,21.654733123680504,17.062288114800978,0.4808772165158548,20.8656328120685,16.429622607335904,14.715854558248902,16.603868925273744,0.4969898276995097,0.3203395238550011,0.36175285449583416,0.6231361217166341,0.484947896679246,0.39491684694204154,19.3826681644487,21.64703017884329,15,uniform,81,133.1
Dhanmondi,BiGRU,0.5299410646167003,0.34855105218369625,21.96647685269001,17.296623370582786,0.4934396028849383,20.610685099126407,15.855699800233522,15.137307040773841,16.66661096142193,0.47973666252895664,0.3214401808404562,0.32595405360689444,0.6468963553381839,0.4910650049788202,0.444464567964142,19.702767476423578,22.245188803617317,15,uniform,82,130.3
Dhanmondi,BiLSTM+BiGRU,0.6062074204511971,0.3848650678953561,21.346898040096104,16.508555474688766,0.47554547931812896,20.981047534051392,16.28856753268282,14.368130424276782,17.229386989020096,0.49967642433620274,0.36270360189829,0.38302569978363044,0.6149023291072842,0.4790750282631939,0.41305008344906646,19.366655553777484,21.30412113718735,15,uniform,67,111.4
Dhanmondi,BiGRU+BiLSTM,0.636075085429098,0.361736057280302,21.739734190575614,16.833463824341624,0.5179876434226945,20.08395661261719,15.297652242711157,14.67097628550719,15.456610031480569,0.49890699179047304,0.32153174072388147,0.35248823416360875,0.6772473282038716,0.5304210168728787,0.44015254720054053,19.373929030622694,21.82491954626749,15,uniform,90,144.4
Dhanmondi,CNN+BiLSTM+BiGRU,0.6042798702987824,0.3506332361669796,21.936446498442614,17.310793813035723,0.43040282423389503,21.860380186603603,17.12109837944488,14.989469685295836,17.568236080483185,0.45565050749705316,0.3143610065953997,0.34655122146024364,0.5681421969841949,0.43993324956023705,0.34420899957015105,20.195554699782736,21.919307584228783,15,uniform,75,122.4
Dhanmondi,CNN+BiGRU+BiLSTM,0.5568632847520302,0.37570090586043,21.517344401915025,16.93042094926371,0.44596987457560167,21.592657768578597,16.928458514139887,14.851618144723098,17.80649276418326,0.434920284777112,0.3381026851623108,0.39928161855586175,0.5315616180356344,0.44083001911129605,0.40874611941585515,20.5799871659383,20.98324850502277,15,uniform,59,99.2
Gulshan,BiLSTM,0.595455148513431,0.44967991720837536,18.818872885840698,13.77026356368636,0.418937870843297,20.768470625525296,16.09478197738809,14.482540439357528,16.294379698497178,0.6673934648798912,0.43657013058029537,0.3594220867414817,0.6677194667253756,0.40658183932632896,0.31541408688655304,14.720607893747983,19.875154227314578,15,uniform,85,142.9
Gulshan,BiGRU,0.607657465136755,0.45589307311904526,18.67418779425857,13.402834762466338,0.4631181879014146,19.945874606808648,15.274959159534681,14.337926324771333,15.729703284350046,0.7286200217470966,0.42800137249535253,0.35952209331582574,0.7253987866534594,0.44297709651829187,0.3771683300787928,13.352520679196664,20.01340238470542,15,uniform,129,204.5
Gulshan,BiLSTM+BiGRU,0.6234439680089728,0.4716269986978017,18.438259626155222,13.36680481330294,0.4274963697459468,20.61244812757341,15.967733567615726,14.054871162694592,16.354314535601937,0.681086576019551,0.44807675946250136,0.38568583738028794,0.657973805639315,0.4167647248534502,0.3156347844819414,14.366350347519761,19.413765959188186,15,uniform,137,223.0
Gulshan,BiGRU+BiLSTM,0.5934847273920039,0.4632850634561481,18.576404452368873,13.447496134745462,0.45112894458794073,20.184977415598993,15.593854319561954,14.32827473474845,16.060496084764516,0.6996591552525668,0.435131143320559,0.3751762366792949,0.6931081215465046,0.43149760364598944,0.3643855132419661,14.037855303611572,19.703970599459698,15,uniform,112,180.0
Gulshan,CNN+BiLSTM+BiGRU,0.550215921002648,0.33842372717228825,20.6851374841969,15.538848046509717,0.31655160993297604,22.575652072321358,17.850157068210578,16.56239902078011,18.397087220155306,0.535297304894651,0.31376089667113205,0.270344518580406,0.5429538315605522,0.3049692476987984,0.2322877182490577,17.510424115078052,21.4227823506967,15,uniform,71,113.0
Gulshan,CNN+BiGRU+BiLSTM,0.5518908632991185,0.3523261271888153,20.45346864182894,15.299361184535714,0.340802717342275,22.170361899525137,17.506747953921742,16.34138917258189,17.921498516411337,0.574771919467773,0.3259771077032648,0.28068744958673053,0.5580054589944196,0.32834787183278547,0.2509868410797568,16.732927865152572,21.194207691042894,15,uniform,60,99.5
Hasnabad,BiLSTM,0.8824701919145421,0.4894280310031747,9.897651751252294,7.539161635691373,0.03896773500037766,12.53808851788721,9.730025177573445,8.896594179603085,12.846904670405044,0.5368351799544633,0.48639585535918783,0.47385136316868204,0.16246290283003695,0.042333986752942754,-0.029245649708816712,9.185671678947724,9.351997561520331,15,uniform,113,187.8
Hasnabad,BiGRU,0.8797363458624898,0.47767064157424194,10.003782583109286,7.6940405826244245,0.07006622936728132,12.331737809432276,9.632633254968445,9.185688385505607,12.62294996710387,0.5540961526054828,0.4804953240137658,0.4302468094156433,0.21691903258791378,0.06432436917535445,0.01231415748105913,9.281232604290565,10.134044980496116,15,uniform,134,212.8
Hasnabad,BiLSTM+BiGRU,0.8842773326856312,0.47558146952292996,10.027688678851376,7.754001026866679,0.05837176964908367,12.409858069776423,9.616135198925004,9.105801644733633,12.683299651833952,0.5456190005450061,0.4638628526942554,0.44951452603821584,0.1906586540736065,0.06385683909171036,-0.006735586801573268,9.042967510893257,9.48405369944387,15,uniform,150,246.4
Hasnabad,BiGRU+BiLSTM,0.8807349745474052,0.47904387608882437,9.992679486198329,7.6395729408624735,0.033846610843781114,12.572554396031688,9.743872766596246,8.995831214763696,12.819549491637504,0.5517378467580504,0.4767161963845987,0.4429359457294578,0.1505638248864073,0.03484209177076203,-0.027553881379012823,9.088305244633501,9.743622321991875,15,uniform,124,200.9
Hasnabad,CNN+BiLSTM+BiGRU,0.8812277455755095,0.5284643485622297,9.511880523794815,7.17017837694553,0.06173192581319461,12.392145421506358,9.688706057304426,8.637047580701186,12.98340454102141,0.5699650388614393,0.5360604930579667,0.501689727083857,0.151164327823765,0.06308571187540024,0.023591034528089527,9.214299877459466,9.474051864796389,15,uniform,93,153.0
Hasnabad,CNN+BiGRU+BiLSTM,0.8785624927256606,0.48924487567024877,9.892230450930487,7.459126479994439,0.034144187431980236,12.572948377667014,9.810532826391464,8.941921916611742,13.097656633917115,0.5565678162249219,0.49257074262523426,0.44226924939414713,0.11309169971798849,0.04299460607224903,-0.015838435769531145,9.36544003279529,10.118531901250293,15,uniform,90,145.4
Kalyanpur,BiLSTM,0.6863190087962231,0.6544225754689096,12.023956562186765,9.211172260648825,0.6242666378071454,10.741034437356753,8.214973242007337,9.507880273899486,8.773616715875557,0.7056017769760297,0.6414260405986894,0.6495938004567899,0.7097548952765771,0.6174352771777101,0.5814984376879502,11.134336470013485,12.12096729126345,15,uniform,75,123.4
Kalyanpur,BiGRU,0.7213700028909105,0.6245390356111129,12.507842658556529,9.492474920260294,0.620197288062722,10.771158474331786,8.350889872768017,9.723346550353806,8.781213042969721,0.7492435005738014,0.6119511132717603,0.5753803321401045,0.7715128164654331,0.606481249504159,0.5546308755860829,10.285166324896188,13.267424890088181,15,uniform,81,129.8
Kalyanpur,BiLSTM+BiGRU,0.6821468468233207,0.6519067305593403,12.064879857932205,9.222730731540784,0.6167756571969062,10.844539598147344,8.294340013591748,9.533880884235627,8.879119426838098,0.7163400998327969,0.6401880938874478,0.6431080122436896,0.7121657894570328,0.6040323268856226,0.5744299532148589,10.931158461272052,12.24438543393466,15,uniform,91,149.9
Kalyanpur,BiGRU+BiLSTM,0.6629668237300603,0.6249924398666415,12.516823043248234,9.6080466855402,0.6143415670584713,10.870509726930509,8.391848745430416,10.078701620823267,9.020451848746166,0.7109851975234862,0.6128878421392363,0.5964146381799611,0.7289241201216975,0.605295069916623,0.5574737774969423,10.942819656730837,13.03411079525055,15,uniform,74,122.3
Kalyanpur,CNN+BiLSTM+BiGRU,0.6642649131897975,0.6513274657090029,12.081096628829556,9.254948554357345,0.6012127831364772,11.070508753805496,8.41017438892486,9.618218397560543,9.117605413893497,0.6773879239939535,0.6465706914140914,0.6480812240311012,0.6695339733318239,0.5964719043451548,0.5665424665621017,11.663920776677648,12.188148633785579,15,uniform,76,125.6
Kalyanpur,CNN+BiGRU+BiLSTM,0.694244959095793,0.6377079330137762,12.314652502562486,9.387410935488614,0.6000181660849313,11.089842864551777,8.459854972250055,9.699763105128227,9.080050124501156,0.6627689419116914,0.6346374999806828,0.6292620372224157,0.6511259580256553,0.5984770636496806,0.5629441049875334,11.930117057300693,12.484820970245886,15,uniform,72,119.1
Lalbag,BiLSTM,0.449646059497376,0.3124613310721471,12.992505138448703,9.461719293034571,-0.027462232526846157,12.74695821763923,9.752764473625389,15.834902547433245,21.862094335849513,0.5558723138784616,0.25956636629682295,0.24391785274325617,0.4217749265076287,-0.016890012730213844,-0.3352407086773683,10.33630600457339,13.59698172024528,15,uniform,77,129.5
Lalbag,BiGRU,0.4154006867764896,0.28158240323093175,13.22108598371407,9.6364361980473,-0.3022853286454418,14.271509820169362,11.059934683606523,15.960959897702091,25.437138551224255,0.6540995707374795,0.23405334775959385,0.1315948918075538,0.4709664317758089,-0.31392862880915473,-0.7455838182804937,9.356031807849211,14.519897498390309,15,uniform,124,198.7
Lalbag,BiLSTM+BiGRU,0.4611717033834643,0.3296506312964552,12.813441511040024,9.343160590547749,-0.131112407433099,13.300796173872895,10.442411878395522,15.6008099136896,23.490153238444165,0.6079936507627139,0.2925652968488045,0.22335640838228776,0.5317036437948378,-0.08418045851840628,-0.5826981121849368,9.708499168391901,13.784081286393672,15,uniform,101,168.9
Lalbag,BiGRU+BiLSTM,0.47836070661353497,0.35425658294189094,12.551155505209344,9.132933766429415,-0.2726164041961712,14.180504455217344,11.550949147755233,15.250279956276279,24.773194722971912,0.6405224598170427,0.3255619850989888,0.20013325881087562,0.28871802342304076,-0.27003082855051397,-0.704341405084145,9.439967893459706,13.98709111347876,15,uniform,120,195.8
Lalbag,CNN+BiLSTM+BiGRU,0.4394150265785336,0.3098907386272487,13.030776524421684,9.659311172958148,-0.3242374678124714,14.365623238699678,11.345824034043966,16.143936130164985,25.504923212263048,0.5124103086948587,0.2568844830144881,0.2587373731612831,0.3967811142969293,-0.22964836002050437,-0.9668402497247701,10.65837190474512,13.420176493931166,15,uniform,99,162.5
Lalbag,CNN+BiGRU+BiLSTM,0.47292186226395677,0.2577172082387013,13.479889982380778,9.927932021433,-0.2775612686857025,14.263808162322329,11.516766940832914,16.426668930601068,25.14042487880118,0.5478949985354908,0.2147493305241449,0.12916348845058112,0.14610805568741392,-0.23833729739260368,-0.6263901658076578,10.652230019467083,14.595369841374175,15,uniform,124,197.6
Madartek,BiLSTM,0.6995636167366184,0.5588639075669126,10.39266267491714,7.986125337148905,0.6347368856993983,9.318270484022076,7.383337680256105,11.252850313494744,9.77237034895357,0.6292476800006308,0.5384809412043433,0.5537454766922948,0.7377467826915817,0.6352253265421127,0.558783492053536,9.541383824599535,10.460985356969058,15,uniform,51,87.6
Madartek,BiGRU,0.7119511664186537,0.5533816877307172,10.447176014053774,7.9980802644818585,0.6542252594325357,9.059809678556757,7.160086849111655,11.354130146905108,9.55481542713489,0.6790448338056282,0.5292978154219807,0.5319913646632866,0.7833110746325787,0.6474398848696177,0.5831620137640978,8.87466908580713,10.72534747144237,15,uniform,84,134.2
Madartek,BiLSTM+BiGRU,0.7174399580997319,0.5629409088151561,10.341827306852682,8.000506712955762,0.6414933846594877,9.2307039738818,7.3410730888658176,11.308191559695372,9.7591722518164,0.6546653651124212,0.5396238609166255,0.5472994273582876,0.7554089107676668,0.6472791988167723,0.5634805938559733,9.180942620923322,10.54187872952753,15,uniform,60,98.9
Madartek,BiGRU+BiLSTM,0.6994992415678928,0.5552953267118379,10.430627619229575,8.031564245985876,0.6300116633724601,9.380259054452457,7.445612598282831,11.372606389904574,9.908703377348024,0.6508602380894549,0.5344766031505015,0.5382844525698361,0.7379987288141947,0.6292240443294104,0.5609139136357227,9.266449114920205,10.651001672351507,15,uniform,50,84.0
Madartek,CNN+BiLSTM+BiGRU,0.6799235793883067,0.5696297319289294,10.268584747125827,7.917647525493028,0.6022075825722223,9.747139139121547,7.5391231780549814,11.091847857070043,9.823083360352722,0.5719454495375265,0.5587593868519428,0.5827318486035349,0.6498698013080259,0.6070559082547182,0.5552408589290798,10.241191629553764,10.101611184506899,15,uniform,60,99.1
Madartek,CNN+BiGRU+BiLSTM,0.6629220923662054,0.5681414332616815,10.284772447940686,7.899229525898952,0.611217886619383,9.630531488257352,7.418444460081117,11.08890368185678,9.647506240875895,0.6151032146707421,0.5479333068943609,0.5806231511291391,0.6881951703692256,0.6104144706810573,0.5598776783509813,9.727835791424683,10.131545037826191,15,uniform,66,107.4
Maniknagar,BiLSTM,0.5878808734239219,0.34538736067774983,10.554019029534508,8.281804568436925,0.57269558132507,9.30380379650905,7.0697948363020355,13.44065159440196,12.077328821853515,0.49881828621848023,0.30017467468486747,0.33222224455812266,0.6812649500727666,0.5730830215371415,0.545106903086636,9.068388703848052,10.853198556840269,15,uniform,93,154.5
