model,substation,n_runs,train_r2,train_r2_std,val_r2,val_r2_std,test_r2,test_r2_std,test_rmse,test_rmse_std,test_mae,test_mae_std,train_rmse,train_rmse_std,train_mae,train_mae_std,val_rmse,val_rmse_std,val_mae,val_mae_std,train_n,val_n,test_n,test_r2_min,test_r2_max,best_seed
BiGRU,Gulshan,1.0,0.8595830117942015,0.0,0.5745780560161606,0.0,0.8448893551298222,0.0,11.020980600649864,0.0,7.9910372044168305,0.0,9.039172032345084,0.0,6.410443915743982,0.0,20.99231811930339,0.0,17.048100797280874,0.0,1550.0,73.0,536,0.8448893551298222,0.8448893551298222,42.0
BiLSTM+BiGRU,Gulshan,1.0,0.8515009295069853,0.0,0.5155842874444676,0.0,0.8242914600634293,0.0,11.729942175638024,0.0,8.618512792484974,0.0,9.295669893482646,0.0,6.637272643812241,0.0,22.400595609453653,0.0,18.223609651604743,0.0,1550.0,73.0,536,0.8242914600634293,0.8242914600634293,42.0
BiGRU+BiLSTM,Gulshan,1.0,0.861708515959664,0.0,0.5587220548763816,0.0,0.8436239211609109,0.0,11.065845330016751,0.0,8.01063904677754,0.0,8.97049779269218,0.0,6.3013635335045475,0.0,21.3799441437618,0.0,17.519888476149678,0.0,1550.0,73.0,536,0.8436239211609109,0.8436239211609109,42.0
CNN+BiLSTM+BiGRU,Gulshan,1.0,0.8785463834394713,0.0,0.6236423014526189,0.0,0.8653831132974859,0.0,10.267133461463493,0.0,7.1544710621237755,0.0,8.406670988945923,0.0,5.89440390002343,0.0,19.744714447311097,0.0,15.545565445129185,0.0,1550.0,73.0,536,0.8653831132974859,0.8653831132974859,42.0
CNN+BiGRU+BiLSTM,Gulshan,1.0,0.8818439029178368,0.0,0.617834981328444,0.0,0.8669127354906234,0.0,10.208635216870297,0.0,7.272005208170236,0.0,8.29176325263661,0.0,5.700576031938676,0.0,19.89646494017349,0.0,15.482243909411235,0.0,1550.0,73.0,536,0.8669127354906234,0.8669127354906234,42.0
Naive-Persistence,Gulshan,,,,,,0.5555029959262796,,18.656658208864418,,13.380597014925373,,,,,,,,,,,,536,,,
Naive-Seasonal7,Gulshan,,,,,,0.246486245769458,,24.290979544523008,,16.171159751481824,,,,,,,,,,,,536,,,
BiLSTM,Hasnabad,1.0,0.9254429486735875,0.0,0.3268074269157253,0.0,0.496539779112646,0.0,9.311710263764093,0.0,7.23923101714298,0.0,11.195473012968215,0.0,8.016538940106896,0.0,11.82108508459027,0.0,9.646424030604427,0.0,1557.0,73.0,536,0.496539779112646,0.496539779112646,42.0
BiGRU,Hasnabad,1.0,0.5954771169684939,0.0,0.32748766146885955,0.0,0.4805550701687009,0.0,9.458377187670326,0.0,7.365674186375604,0.0,26.077720872459036,0.0,16.975885124717987,0.0,11.815111204912393,0.0,9.707684098857722,0.0,1557.0,73.0,536,0.4805550701687009,0.4805550701687009,42.0
BiLSTM+BiGRU,Hasnabad,1.0,0.9242697327098915,0.0,0.30682687925748053,0.0,0.5142325733580733,0.0,9.146629090251736,0.0,7.085103882382167,0.0,11.283214136613255,0.0,8.234081259544032,0.0,11.995228961988886,0.0,9.838823034338755,0.0,1557.0,73.0,536,0.5142325733580733,0.5142325733580733,42.0
BiGRU+BiLSTM,Hasnabad,1.0,0.9249630735287339,0.0,0.28881184387063796,0.0,0.5263248532580556,0.0,9.032067456677348,0.0,6.9100447804625365,0.0,11.231444206442188,0.0,8.118481779221012,0.0,12.150102534955318,0.0,9.962633407279236,0.0,1557.0,73.0,536,0.5263248532580556,0.5263248532580556,42.0
CNN+BiLSTM+BiGRU,Hasnabad,1.0,0.9279350963111789,0.0,0.25146740664423106,0.0,0.5021823442124392,0.0,9.259382416605478,0.0,7.263281834703773,0.0,11.006772519092515,0.0,7.990966580123877,0.0,12.465021819018773,0.0,10.205744729466634,0.0,1557.0,73.0,536,0.5021823442124392,0.5021823442124392,42.0
CNN+BiGRU+BiLSTM,Hasnabad,1.0,0.8511076788417613,0.0,0.3247789788281632,0.0,0.4242339356129631,0.0,9.957949175149775,0.0,7.9107488879072125,0.0,15.821011119578877,0.0,11.543788359803731,0.0,11.83888119726391,0.0,9.703760190369332,0.0,1557.0,73.0,536,0.4242339356129631,0.4242339356129631,42.0
Naive-Persistence,Hasnabad,,,,,,0.527028910652838,,9.025352455184146,,6.224440298507463,,,,,,,,,,,,536,,,
Naive-Seasonal7,Hasnabad,,,,,,-0.23467097729412645,,14.5821812863065,,11.074350139255873,,,,,,,,,,,,536,,,
BiLSTM,Kalyanpur,1.0,0.8463278952332673,0.0,0.7529961124050966,0.0,0.8475365710525159,0.0,7.139922537074274,0.0,5.419668977496342,0.0,7.289047385905404,0.0,5.205617206163986,0.0,9.687221939929408,0.0,6.884060748640051,0.0,1558.0,197.0,536,0.8475365710525159,0.8475365710525159,42.0
BiGRU,Kalyanpur,1.0,0.8685113146304881,0.0,0.7750249394262054,0.0,0.8668660334532959,0.0,6.671985507106745,0.0,5.007146596463759,0.0,6.742445511329994,0.0,4.64539321277659,0.0,9.245162395947629,0.0,6.606663790451086,0.0,1558.0,197.0,536,0.8668660334532959,0.8668660334532959,42.0
BiLSTM+BiGRU,Kalyanpur,1.0,0.8603418957086468,0.0,0.7651793425738265,0.0,0.8608932941281393,0.0,6.820004979403648,0.0,5.148628693574401,0.0,6.948744208788298,0.0,4.847548404844798,0.0,9.445294536641683,0.0,6.7755597699717205,0.0,1558.0,197.0,536,0.8608932941281393,0.8608932941281393,42.0
BiGRU+BiLSTM,Kalyanpur,1.0,0.8577149391227294,0.0,0.7666273753231523,0.0,0.8596917858946733,0.0,6.84939491399089,0.0,5.157052919713419,0.0,7.013792378168423,0.0,4.958995617476602,0.0,9.41612707253423,0.0,6.649544225126354,0.0,1558.0,197.0,536,0.8596917858946733,0.8596917858946733,42.0
CNN+BiLSTM+BiGRU,Kalyanpur,1.0,0.8534307858752153,0.0,0.7430615126084468,0.0,0.8442338400475367,0.0,7.216842299439827,0.0,5.418631607583213,0.0,7.118600707048177,0.0,5.055075084711685,0.0,9.880113575631922,0.0,7.034017503261565,0.0,1558.0,197.0,536,0.8442338400475367,0.8442338400475367,42.0
CNN+BiGRU+BiLSTM,Kalyanpur,1.0,0.8699391235208586,0.0,0.7544450483818208,0.0,0.8577002944573782,0.0,6.897832739225043,0.0,5.149417566274529,0.0,6.705738167722464,0.0,4.724197040396877,0.0,9.658767308485956,0.0,6.948459034946362,0.0,1558.0,197.0,536,0.8577002944573782,0.8577002944573782,42.0
Naive-Persistence,Kalyanpur,,,,,,0.8301192630717802,,7.53672600045737,,5.268656716417911,,,,,,,,,,,,536,,,
Naive-Seasonal7,Kalyanpur,,,,,,0.3665322188970377,,14.553683433843725,,10.626865671641792,,,,,,,,,,,,536,,,
BiLSTM,Lalbag,1.0,0.7344578956393899,0.0,0.6602107436500688,0.0,0.6089279716167406,0.0,8.434158620554895,0.0,6.843648788927852,0.0,8.47405749240516,0.0,6.189500767834641,0.0,10.702931274676336,0.0,8.039296021360128,0.0,1559.0,197.0,527,0.6089279716167406,0.6089279716167406,42.0
BiGRU,Lalbag,1.0,0.803648339397909,0.0,0.7619983406326629,0.0,0.7803565660094645,0.0,6.320806567561998,0.0,4.881796852502354,0.0,7.286886400895406,0.0,5.00514515242663,0.0,8.957522500933505,0.0,6.856920168478479,0.0,1559.0,197.0,527,0.7803565660094645,0.7803565660094645,42.0
BiLSTM+BiGRU,Lalbag,1.0,0.7836123041915091,0.0,0.7228514463471938,0.0,0.7529189178977042,0.0,6.703986558600013,0.0,5.171939342801211,0.0,7.649639889870381,0.0,5.385156968262924,0.0,9.666165429702566,0.0,7.365408644573336,0.0,1559.0,197.0,527,0.7529189178977042,0.7529189178977042,42.0
BiGRU+BiLSTM,Lalbag,1.0,0.7990560541231536,0.0,0.7486193881599592,0.0,0.7744734518227412,0.0,6.404898089582867,0.0,4.918735332967997,0.0,7.371606985337872,0.0,5.0987678221324995,0.0,9.20584810303055,0.0,7.0322740418490435,0.0,1559.0,197.0,527,0.7744734518227412,0.7744734518227412,42.0
CNN+BiLSTM+BiGRU,Lalbag,1.0,0.8139869168923023,0.0,0.7291550046551056,0.0,0.7510775384157714,0.0,6.7289210232273025,0.0,5.179554606709464,0.0,7.092452818536277,0.0,4.852096331985698,0.0,9.555607944269095,0.0,7.202098219671529,0.0,1559.0,197.0,527,0.7510775384157714,0.7510775384157714,42.0
CNN+BiGRU+BiLSTM,Lalbag,1.0,0.784963285303775,0.0,0.7109026549708233,0.0,0.652137136076023,0.0,7.954583070905096,0.0,6.307100477667075,0.0,7.625722864485951,0.0,5.336769065280959,0.0,9.872336885881666,0.0,7.67355538837347,0.0,1559.0,197.0,527,0.652137136076023,0.652137136076023,42.0
Naive-Persistence,Lalbag,,,,,,0.7697892577996024,,6.471071225720603,,4.466793168880455,,,,,,,,,,,,527,,,
Naive-Seasonal7,Lalbag,,,,,,-0.25135102751847005,,15.087002586956215,,8.893738140417458,,,,,,,,,,,,527,,,
BiLSTM,Madartek,1.0,0.8716503710759191,0.0,0.6934550175035268,0.0,0.8828273233112871,0.0,5.355533900067909,0.0,4.172926740104502,0.0,5.4058706463642405,0.0,3.6912713418988172,0.0,8.203060549989965,0.0,5.86142080950858,0.0,1555.0,197.0,528,0.8828273233112871,0.8828273233112871,42.0
BiGRU,Madartek,1.0,0.8798591444695918,0.0,0.7255302689875308,0.0,0.8964775872568999,0.0,5.033925569043633,0.0,3.833668103425792,0.0,5.230144657844016,0.0,3.5225290381594103,0.0,7.762042915801114,0.0,5.401196376369688,0.0,1555.0,197.0,528,0.8964775872568999,0.8964775872568999,42.0
BiLSTM+BiGRU,Madartek,1.0,0.8802787056261624,0.0,0.7132290976383859,0.0,0.8916874644404129,0.0,5.149071927033719,0.0,3.985111805381197,0.0,5.221004200589052,0.0,3.5055982738660463,0.0,7.934075935272718,0.0,5.591890795739168,0.0,1555.0,197.0,528,0.8916874644404129,0.8916874644404129,42.0
BiGRU+BiLSTM,Madartek,1.0,0.872759674320668,0.0,0.7115474550688139,0.0,0.8882639807884448,0.0,5.22981341312045,0.0,4.034523927908052,0.0,5.382458956707934,0.0,3.695480358381363,0.0,7.957304890656333,0.0,5.662061584734069,0.0,1555.0,197.0,528,0.8882639807884448,0.8882639807884448,42.0
CNN+BiLSTM+BiGRU,Madartek,1.0,0.8753950323416858,0.0,0.6915308617372692,0.0,0.8797274587408749,0.0,5.4259131864544505,0.0,4.182025148918231,0.0,5.326427489875041,0.0,3.6134645038525006,0.0,8.22876521969486,0.0,5.93523288920446,0.0,1555.0,197.0,528,0.8797274587408749,0.8797274587408749,42.0
CNN+BiGRU+BiLSTM,Madartek,1.0,0.8754368181178264,0.0,0.7039897436172293,0.0,0.8851625105851235,0.0,5.3018988973758745,0.0,4.067707063280272,0.0,5.325534316940482,0.0,3.634503545192277,0.0,8.060875077696874,0.0,5.73964764503053,0.0,1555.0,197.0,528,0.8851625105851235,0.8851625105851235,42.0
Naive-Persistence,Madartek,,,,,,0.8647420463498579,,5.754015182435389,,4.067594696969697,,,,,,,,,,,,528,,,
Naive-Seasonal7,Madartek,,,,,,0.44195827478927685,,11.687535244437216,,8.885047348484848,,,,,,,,,,,,528,,,
