src_label,src,type,dst_label,dst,rank
Substation,Dhanmondi,HAS_TOU_WINDOW,TouWindow,TOU-Dhanmondi,
Substation,Kalyanpur,HAS_TOU_WINDOW,TouWindow,TOU-Kalyanpur,
Substation,Dhanmondi,CONNECTS,TieLine,TL-Dhanmondi-Kalyanpur,
TieLine,TL-Dhanmondi-Kalyanpur,CONNECTS,Substation,Kalyanpur,
Substation,Kalyanpur,CONNECTS,TieLine,TL-Kalyanpur-Dhanmondi,
TieLine,TL-Kalyanpur-Dhanmondi,CONNECTS,Substation,Dhanmondi,
Archetype,Res-A,SUBJECT_TO,TariffClass,LT-A,
Archetype,Res-B,SUBJECT_TO,TariffClass,LT-A,
Archetype,Res-C,SUBJECT_TO,TariffClass,LT-A,
Archetype,Commercial,SUBJECT_TO,TariffClass,LT-E,
Archetype,Industrial,SUBJECT_TO,TariffClass,LT-C1,
Archetype,Hospital,SUBJECT_TO,TariffClass,LT-D1,
Archetype,Educational,SUBJECT_TO,TariffClass,LT-D1,
Archetype,Government,SUBJECT_TO,TariffClass,LT-E,
Household,KLNC0057,PERFORMED,DrAction,DR-KLNC0057-2026-07-02-39-Y,
DrAction,DR-KLNC0057-2026-07-02-39-Y,AT_TIMESLOT,TimeSlot,2026-07-02-S39,
DrAction,DR-KLNC0057-2026-07-02-39-Y,REDUCES,LoadProfile,LP-KLN-2026-07-02-39,
Household,KLNC0057,PERFORMED,DrAction,DR-KLNC0057-2026-07-02-40-Y,
DrAction,DR-KLNC0057-2026-07-02-40-Y,AT_TIMESLOT,TimeSlot,2026-07-02-S40,
DrAction,DR-KLNC0057-2026-07-02-40-Y,REDUCES,LoadProfile,LP-KLN-2026-07-02-40,
Household,KLNC0057,PERFORMED,DrAction,DR-KLNC0057-2026-07-02-41-Y,
DrAction,DR-KLNC0057-2026-07-02-41-Y,AT_TIMESLOT,TimeSlot,2026-07-02-S41,
DrAction,DR-KLNC0057-2026-07-02-41-Y,REDUCES,LoadProfile,LP-KLN-2026-07-02-41,
Household,KLNC0057,PERFORMED,DrAction,DR-KLNC0057-2026-07-02-43-Y,
DrAction,DR-KLNC0057-2026-07-02-43-Y,AT_TIMESLOT,TimeSlot,2026-07-02-S43,
DrAction,DR-KLNC0057-2026-07-02-43-Y,REDUCES,LoadProfile,LP-KLN-2026-07-02-43,
Household,KLNC0057,PERFORMED,DrAction,DR-KLNC0057-2026-07-02-44-Y,
DrAction,DR-KLNC0057-2026-07-02-44-Y,AT_TIMESLOT,TimeSlot,2026-07-02-S44,
DrAction,DR-KLNC0057-2026-07-02-44-Y,REDUCES,LoadProfile,LP-KLN-2026-07-02-44,
Household,KLNC0057,PERFORMED,DrAction,DR-KLNC0057-2026-07-02-46-Y,
DrAction,DR-KLNC0057-2026-07-02-46-Y,AT_TIMESLOT,TimeSlot,2026-07-02-S46,
DrAction,DR-KLNC0057-2026-07-02-46-Y,REDUCES,LoadProfile,LP-KLN-2026-07-02-46,
Household,KLNC0057,PERFORMED,DrAction,DR-KLNC0057-2026-07-02-47-Y,
DrAction,DR-KLNC0057-2026-07-02-47-Y,AT_TIMESLOT,TimeSlot,2026-07-02-S47,
DrAction,DR-KLNC0057-2026-07-02-47-Y,REDUCES,LoadProfile,LP-KLN-2026-07-02-47,
Household,KLNC0060,PERFORMED,DrAction,DR-KLNC0060-2026-07-02-04-Y,
DrAction,DR-KLNC0060-2026-07-02-04-Y,AT_TIMESLOT,TimeSlot,2026-07-02-S04,
DrAction,DR-KLNC0060-2026-07-02-04-Y,REDUCES,LoadProfile,LP-KLN-2026-07-02-04,
Household,KLNC0060,PERFORMED,DrAction,DR-KLNC0060-2026-07-02-08-Y,
DrAction,DR-KLNC0060-2026-07-02-08-Y,AT_TIMESLOT,TimeSlot,2026-07-02-S08,
DrAction,DR-KLNC0060-2026-07-02-08-Y,REDUCES,LoadProfile,LP-KLN-2026-07-02-08,
Household,KLNC0060,PERFORMED,DrAction,DR-KLNC0060-2026-07-02-12-Y,
DrAction,DR-KLNC0060-2026-07-02-12-Y,AT_TIMESLOT,TimeSlot,2026-07-02-S12,
DrAction,DR-KLNC0060-2026-07-02-12-Y,REDUCES,LoadProfile,LP-KLN-2026-07-02-12,
Household,KLNC0060,PERFORMED,DrAction,DR-KLNC0060-2026-07-02-14-Y,
DrAction,DR-KLNC0060-2026-07-02-14-Y,AT_TIMESLOT,TimeSlot,2026-07-02-S14,
