substation,date,varpi_tk_per_kwh,f_cost_tk,f_rel_tk,f_wel_tk,G_id_kwh,B_id_kwh,T_ijd_kwh,F_i_tk,id
Kalyanpur,2026-06-28,0.0,18145113.256135777,0.0,12351996.565750023,2162707.181899377,0.0,0.0,30497109.8218858,SUR-Kalyanpur-2026-06-28
Dhanmondi,2026-06-29,0.0,17186053.809561215,0.0,13315150.504824676,2048397.3551324448,0.0,0.0,30501204.31438589,SUR-Dhanmondi-2026-06-29
Kalyanpur,2026-06-29,0.0,17515216.19525108,0.0,12112438.797293762,2087630.059028734,0.0,0.0,29627654.992544845,SUR-Kalyanpur-2026-06-29
Dhanmondi,2026-06-30,0.0,17676838.764028326,0.0,12649458.46715236,2106893.7740200623,0.0,0.0,30326297.231180683,SUR-Dhanmondi-2026-06-30
Kalyanpur,2026-06-30,0.0,17167718.18049968,0.0,11552070.531424109,2046211.9404648007,0.0,0.0,28719788.71192379,SUR-Kalyanpur-2026-06-30
Dhanmondi,2026-07-01,0.0,18838919.52602668,0.0,12436676.227787666,2245401.612160509,0.0,0.0,31275595.753814343,SUR-Dhanmondi-2026-07-01
Kalyanpur,2026-07-01,0.0,16960860.516869877,0.0,11540513.747002244,2021556.6766233463,0.0,0.0,28501374.26387212,SUR-Kalyanpur-2026-07-01
Dhanmondi,2026-07-02,0.0,18716834.152419943,0.0,12402290.496832551,2230850.316140637,0.0,0.0,31119124.649252497,SUR-Dhanmondi-2026-07-02
Kalyanpur,2026-07-02,0.0,16498223.039333804,0.0,11486611.386349956,1966415.141756115,0.0,0.0,27984834.425683763,SUR-Kalyanpur-2026-07-02
Dhanmondi,2026-07-03,0.0,15523935.503862193,0.0,12499679.106143972,1850290.28651516,0.0,0.0,28023614.610006165,SUR-Dhanmondi-2026-07-03
Kalyanpur,2026-07-03,0.0,16155431.253801556,0.0,11476685.603092484,1925557.9563529864,0.0,0.0,27632116.85689404,SUR-Kalyanpur-2026-07-03
Dhanmondi,2026-07-04,0.0,17463025.933278278,0.0,12571550.42287085,2081409.527208376,0.0,0.0,30034576.35614913,SUR-Dhanmondi-2026-07-04
Kalyanpur,2026-07-04,0.0,16405920.63735962,0.0,11473652.740496775,1955413.6635708725,0.0,0.0,27879573.3778564,SUR-Kalyanpur-2026-07-04
Dhanmondi,2026-07-05,0.0,19685525.08338264,0.0,12396706.782354416,2346308.1148251053,0.0,0.0,32082231.86573705,SUR-Dhanmondi-2026-07-05
Kalyanpur,2026-07-05,0.0,16431851.333246546,0.0,11476719.375148274,1958504.3305419004,0.0,0.0,27908570.708394814,SUR-Kalyanpur-2026-07-05
Dhanmondi,2026-07-06,0.0,19325232.901447907,0.0,12397550.426966874,2303365.0657268064,0.0,0.0,31722783.328414783,SUR-Dhanmondi-2026-07-06
Kalyanpur,2026-07-06,0.0,16287784.011536386,0.0,11477979.535528343,1941333.0168696528,0.0,0.0,27765763.54706473,SUR-Kalyanpur-2026-07-06
Dhanmondi,2026-07-07,0.0,18772904.21555889,0.0,12410100.742164183,2237533.2795660184,0.0,0.0,31183004.95772308,SUR-Dhanmondi-2026-07-07
Kalyanpur,2026-07-07,0.0,16254733.150244638,0.0,11487230.102323756,1937393.7008634848,0.0,0.0,27741963.252568398,SUR-Kalyanpur-2026-07-07
Dhanmondi,2026-07-08,0.0,19559240.385355446,0.0,12469266.431997716,2331256.303379672,0.0,0.0,32028506.817353163,SUR-Dhanmondi-2026-07-08
Kalyanpur,2026-07-08,0.0,16051243.179836975,0.0,11621924.206799235,1913139.8307314632,0.0,0.0,27673167.38663621,SUR-Kalyanpur-2026-07-08
Dhanmondi,2026-07-09,0.0,19223364.20778528,0.0,12490074.251930902,2291223.3859100454,0.0,0.0,31713438.459716182,SUR-Dhanmondi-2026-07-09
Kalyanpur,2026-07-09,0.0,15761782.68595736,0.0,11634038.089839667,1878639.1759186364,0.0,0.0,27395820.775797028,SUR-Kalyanpur-2026-07-09
Dhanmondi,2026-07-10,0.0,16373060.744224371,0.0,12666861.372798376,1951497.108965956,0.0,0.0,29039922.11702275,SUR-Dhanmondi-2026-07-10
Kalyanpur,2026-07-10,0.0,15447119.92669464,0.0,11632503.00576903,1841134.675410565,0.0,0.0,27079622.93246367,SUR-Kalyanpur-2026-07-10
Dhanmondi,2026-07-11,0.0,18432270.111656208,0.0,12490403.019179145,2196933.267181908,0.0,0.0,30922673.13083535,SUR-Dhanmondi-2026-07-11
Kalyanpur,2026-07-11,0.0,15628979.128086483,0.0,11658463.006262958,1862810.3847540503,0.0,0.0,27287442.134349443,SUR-Kalyanpur-2026-07-11
Dhanmondi,2026-07-12,0.0,20783818.10316281,0.0,12584049.83196742,2477213.1231421707,0.0,0.0,33367867.935130235,SUR-Dhanmondi-2026-07-12
Kalyanpur,2026-07-12,0.0,15742322.448976446,0.0,11668394.493580744,1876319.7197826516,0.0,0.0,27410716.94255719,SUR-Kalyanpur-2026-07-12
Dhanmondi,2026-07-13,0.0,20151801.634092838,0.0,12562280.347986002,2401883.3890456297,0.0,0.0,32714081.982078835,SUR-Dhanmondi-2026-07-13
Kalyanpur,2026-07-13,0.0,15765393.9627558,0.0,11681647.246572752,1879069.6022354944,0.0,0.0,27447041.209328555,SUR-Kalyanpur-2026-07-13
