consumer_id,date,substation,archetype,category,w_h,n_shift_slots,n_curtail_slots,energy_shifted_kwh,energy_curtailed_kwh,max_y,never_curtailed,never_shifted,participated,id
DHNC0066,2026-06-14,Dhanmondi,Res-C,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0066-2026-06-14
DHNC0067,2026-06-14,Dhanmondi,Res-C,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0067-2026-06-14
DHNC0068,2026-06-14,Dhanmondi,Res-C,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0068-2026-06-14
DHNC0069,2026-06-14,Dhanmondi,Res-B,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0069-2026-06-14
DHNC0070,2026-06-14,Dhanmondi,Res-A,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0070-2026-06-14
DHNC0071,2026-06-14,Dhanmondi,Res-B,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0071-2026-06-14
DHNC0072,2026-06-14,Dhanmondi,Res-B,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0072-2026-06-14
DHNC0073,2026-06-14,Dhanmondi,Res-C,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0073-2026-06-14
DHNC0074,2026-06-14,Dhanmondi,Res-C,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0074-2026-06-14
DHNC0075,2026-06-14,Dhanmondi,Res-A,Residential,597.3547737671756,0,4,0.0,320.8138908498278,0.405568054245107,False,True,True,PS-DHNC0075-2026-06-14
DHNC0076,2026-06-14,Dhanmondi,Res-C,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0076-2026-06-14
DHNC0077,2026-06-14,Dhanmondi,Res-B,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0077-2026-06-14
DHNC0078,2026-06-14,Dhanmondi,Res-A,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0078-2026-06-14
DHNC0079,2026-06-14,Dhanmondi,Res-A,Residential,597.3547737671756,0,4,0.0,93.24063506670883,0.2641402841417873,False,True,True,PS-DHNC0079-2026-06-14
DHNC0080,2026-06-14,Dhanmondi,Res-B,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0080-2026-06-14
DHNC0081,2026-06-14,Dhanmondi,Res-B,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0081-2026-06-14
DHNC0082,2026-06-14,Dhanmondi,Res-A,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0082-2026-06-14
DHNC0083,2026-06-14,Dhanmondi,Res-B,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0083-2026-06-14
DHNC0084,2026-06-14,Dhanmondi,Res-A,Residential,597.3547737671756,0,2,0.0,83.7608889640511,0.431860687729734,False,True,True,PS-DHNC0084-2026-06-14
DHNC0085,2026-06-14,Dhanmondi,Res-A,Residential,597.3547737671756,0,4,0.0,176.92966206567328,0.3672707826598884,False,True,True,PS-DHNC0085-2026-06-14
DHNC0086,2026-06-14,Dhanmondi,Res-A,Residential,597.3547737671756,0,4,0.0,521.6922628233121,0.4581621263660644,False,True,True,PS-DHNC0086-2026-06-14
DHNC0087,2026-06-14,Dhanmondi,Res-B,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0087-2026-06-14
DHNC0088,2026-06-14,Dhanmondi,Res-B,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0088-2026-06-14
DHNC0089,2026-06-14,Dhanmondi,Res-A,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0089-2026-06-14
DHNC0090,2026-06-14,Dhanmondi,Res-B,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0090-2026-06-14
DHNC0091,2026-06-14,Dhanmondi,Res-B,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0091-2026-06-14
DHNC0092,2026-06-14,Dhanmondi,Res-C,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0092-2026-06-14
DHNC0093,2026-06-14,Dhanmondi,Res-A,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0093-2026-06-14
DHNC0094,2026-06-14,Dhanmondi,Res-B,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0094-2026-06-14
DHNC0095,2026-06-14,Dhanmondi,Res-A,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0095-2026-06-14
DHNC0096,2026-06-14,Dhanmondi,Res-B,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0096-2026-06-14
DHNC0097,2026-06-14,Dhanmondi,Res-A,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0097-2026-06-14
DHNC0098,2026-06-14,Dhanmondi,Res-A,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0098-2026-06-14
DHNC0099,2026-06-14,Dhanmondi,Res-A,Residential,597.3547737671756,0,4,0.0,224.59947361085295,0.3030513356541811,False,True,True,PS-DHNC0099-2026-06-14
DHNC0100,2026-06-14,Dhanmondi,Res-B,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0100-2026-06-14
DHNC0101,2026-06-14,Dhanmondi,Res-B,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0101-2026-06-14
DHNC0102,2026-06-14,Dhanmondi,Res-B,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0102-2026-06-14
DHNC0103,2026-06-14,Dhanmondi,Res-B,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0103-2026-06-14
DHNC0104,2026-06-14,Dhanmondi,Res-A,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0104-2026-06-14
DHNC0105,2026-06-14,Dhanmondi,Res-B,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0105-2026-06-14
DHNC0106,2026-06-14,Dhanmondi,Res-C,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0106-2026-06-14
DHNC0107,2026-06-14,Dhanmondi,Res-A,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0107-2026-06-14
DHNC0108,2026-06-14,Dhanmondi,Res-C,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0108-2026-06-14
DHNC0109,2026-06-14,Dhanmondi,Res-A,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0109-2026-06-14
DHNC0110,2026-06-14,Dhanmondi,Res-B,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0110-2026-06-14
DHNC0111,2026-06-14,Dhanmondi,Res-B,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0111-2026-06-14
DHNC0112,2026-06-14,Dhanmondi,Res-B,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0112-2026-06-14
DHNC0113,2026-06-14,Dhanmondi,Res-A,Residential,597.3547737671756,0,3,0.0,631.1392658627265,0.4323949456730005,False,True,True,PS-DHNC0113-2026-06-14
DHNC0114,2026-06-14,Dhanmondi,Res-B,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0114-2026-06-14
DHNC0115,2026-06-14,Dhanmondi,Res-C,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0115-2026-06-14
DHNC0116,2026-06-14,Dhanmondi,Res-C,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0116-2026-06-14
DHNC0117,2026-06-14,Dhanmondi,Res-A,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0117-2026-06-14
DHNC0118,2026-06-14,Dhanmondi,Res-A,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0118-2026-06-14
DHNC0119,2026-06-14,Dhanmondi,Res-A,Residential,597.3547737671756,0,3,0.0,268.6537640060245,0.4668097643736977,False,True,True,PS-DHNC0119-2026-06-14
DHNC0120,2026-06-14,Dhanmondi,Res-A,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0120-2026-06-14
DHNC0121,2026-06-14,Dhanmondi,Res-B,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0121-2026-06-14
DHNC0122,2026-06-14,Dhanmondi,Res-A,Residential,597.3547737671756,0,5,0.0,707.5470110221202,0.3664369800139141,False,True,True,PS-DHNC0122-2026-06-14
