var_type,value,unit,substation,date,slot_index,clock,equation,id
Z_curtailable,0.0,kW,Dhanmondi,2026-06-14,11,05:30,(17),DEC-DHN-2026-06-14-11-Z_curtailable
G,63840.36730853897,kW,Dhanmondi,2026-06-14,12,06:00,(17),DEC-DHN-2026-06-14-12-G
B_ch,0.0,kW,Dhanmondi,2026-06-14,12,06:00,(17),DEC-DHN-2026-06-14-12-B_ch
B_dis,0.0,kW,Dhanmondi,2026-06-14,12,06:00,(17),DEC-DHN-2026-06-14-12-B_dis
T_out,0.0,kW,Dhanmondi,2026-06-14,12,06:00,(17),DEC-DHN-2026-06-14-12-T_out
T_in,0.0,kW,Dhanmondi,2026-06-14,12,06:00,(17),DEC-DHN-2026-06-14-12-T_in
nu,0.0,kWh,Dhanmondi,2026-06-14,12,06:00,(17),DEC-DHN-2026-06-14-12-nu
Z_critical,0.0,kW,Dhanmondi,2026-06-14,12,06:00,(17),DEC-DHN-2026-06-14-12-Z_critical
Z_shiftable,0.0,kW,Dhanmondi,2026-06-14,12,06:00,(17),DEC-DHN-2026-06-14-12-Z_shiftable
Z_curtailable,0.0,kW,Dhanmondi,2026-06-14,12,06:00,(17),DEC-DHN-2026-06-14-12-Z_curtailable
G,68462.98429212673,kW,Dhanmondi,2026-06-14,13,06:30,(17),DEC-DHN-2026-06-14-13-G
B_ch,0.0,kW,Dhanmondi,2026-06-14,13,06:30,(17),DEC-DHN-2026-06-14-13-B_ch
B_dis,0.0,kW,Dhanmondi,2026-06-14,13,06:30,(17),DEC-DHN-2026-06-14-13-B_dis
T_out,0.0,kW,Dhanmondi,2026-06-14,13,06:30,(17),DEC-DHN-2026-06-14-13-T_out
T_in,0.0,kW,Dhanmondi,2026-06-14,13,06:30,(17),DEC-DHN-2026-06-14-13-T_in
nu,0.0,kWh,Dhanmondi,2026-06-14,13,06:30,(17),DEC-DHN-2026-06-14-13-nu
Z_critical,0.0,kW,Dhanmondi,2026-06-14,13,06:30,(17),DEC-DHN-2026-06-14-13-Z_critical
Z_shiftable,0.0,kW,Dhanmondi,2026-06-14,13,06:30,(17),DEC-DHN-2026-06-14-13-Z_shiftable
Z_curtailable,0.0,kW,Dhanmondi,2026-06-14,13,06:30,(17),DEC-DHN-2026-06-14-13-Z_curtailable
G,76362.15174865797,kW,Dhanmondi,2026-06-14,14,07:00,(17),DEC-DHN-2026-06-14-14-G
B_ch,0.0,kW,Dhanmondi,2026-06-14,14,07:00,(17),DEC-DHN-2026-06-14-14-B_ch
B_dis,0.0,kW,Dhanmondi,2026-06-14,14,07:00,(17),DEC-DHN-2026-06-14-14-B_dis
T_out,0.0,kW,Dhanmondi,2026-06-14,14,07:00,(17),DEC-DHN-2026-06-14-14-T_out
T_in,0.0,kW,Dhanmondi,2026-06-14,14,07:00,(17),DEC-DHN-2026-06-14-14-T_in
nu,0.0,kWh,Dhanmondi,2026-06-14,14,07:00,(17),DEC-DHN-2026-06-14-14-nu
Z_critical,0.0,kW,Dhanmondi,2026-06-14,14,07:00,(17),DEC-DHN-2026-06-14-14-Z_critical
Z_shiftable,0.0,kW,Dhanmondi,2026-06-14,14,07:00,(17),DEC-DHN-2026-06-14-14-Z_shiftable
Z_curtailable,0.0,kW,Dhanmondi,2026-06-14,14,07:00,(17),DEC-DHN-2026-06-14-14-Z_curtailable
G,83451.21207712611,kW,Dhanmondi,2026-06-14,15,07:30,(17),DEC-DHN-2026-06-14-15-G
B_ch,0.0,kW,Dhanmondi,2026-06-14,15,07:30,(17),DEC-DHN-2026-06-14-15-B_ch
B_dis,0.0,kW,Dhanmondi,2026-06-14,15,07:30,(17),DEC-DHN-2026-06-14-15-B_dis
T_out,0.0,kW,Dhanmondi,2026-06-14,15,07:30,(17),DEC-DHN-2026-06-14-15-T_out
T_in,0.0,kW,Dhanmondi,2026-06-14,15,07:30,(17),DEC-DHN-2026-06-14-15-T_in
nu,0.0,kWh,Dhanmondi,2026-06-14,15,07:30,(17),DEC-DHN-2026-06-14-15-nu
Z_critical,0.0,kW,Dhanmondi,2026-06-14,15,07:30,(17),DEC-DHN-2026-06-14-15-Z_critical
Z_shiftable,0.0,kW,Dhanmondi,2026-06-14,15,07:30,(17),DEC-DHN-2026-06-14-15-Z_shiftable
Z_curtailable,0.0,kW,Dhanmondi,2026-06-14,15,07:30,(17),DEC-DHN-2026-06-14-15-Z_curtailable
G,76606.76338034385,kW,Dhanmondi,2026-06-14,16,08:00,(17),DEC-DHN-2026-06-14-16-G
B_ch,0.0,kW,Dhanmondi,2026-06-14,16,08:00,(17),DEC-DHN-2026-06-14-16-B_ch
B_dis,0.0,kW,Dhanmondi,2026-06-14,16,08:00,(17),DEC-DHN-2026-06-14-16-B_dis
T_out,0.0,kW,Dhanmondi,2026-06-14,16,08:00,(17),DEC-DHN-2026-06-14-16-T_out
T_in,0.0,kW,Dhanmondi,2026-06-14,16,08:00,(17),DEC-DHN-2026-06-14-16-T_in
nu,0.0,kWh,Dhanmondi,2026-06-14,16,08:00,(17),DEC-DHN-2026-06-14-16-nu
Z_critical,0.0,kW,Dhanmondi,2026-06-14,16,08:00,(17),DEC-DHN-2026-06-14-16-Z_critical
Z_shiftable,0.0,kW,Dhanmondi,2026-06-14,16,08:00,(17),DEC-DHN-2026-06-14-16-Z_shiftable
Z_curtailable,0.0,kW,Dhanmondi,2026-06-14,16,08:00,(17),DEC-DHN-2026-06-14-16-Z_curtailable
G,82370.19712423005,kW,Dhanmondi,2026-06-14,17,08:30,(17),DEC-DHN-2026-06-14-17-G
B_ch,0.0,kW,Dhanmondi,2026-06-14,17,08:30,(17),DEC-DHN-2026-06-14-17-B_ch
B_dis,0.0,kW,Dhanmondi,2026-06-14,17,08:30,(17),DEC-DHN-2026-06-14-17-B_dis
T_out,0.0,kW,Dhanmondi,2026-06-14,17,08:30,(17),DEC-DHN-2026-06-14-17-T_out
T_in,0.0,kW,Dhanmondi,2026-06-14,17,08:30,(17),DEC-DHN-2026-06-14-17-T_in
nu,0.0,kWh,Dhanmondi,2026-06-14,17,08:30,(17),DEC-DHN-2026-06-14-17-nu
Z_critical,0.0,kW,Dhanmondi,2026-06-14,17,08:30,(17),DEC-DHN-2026-06-14-17-Z_critical
Z_shiftable,0.0,kW,Dhanmondi,2026-06-14,17,08:30,(17),DEC-DHN-2026-06-14-17-Z_shiftable
Z_curtailable,0.0,kW,Dhanmondi,2026-06-14,17,08:30,(17),DEC-DHN-2026-06-14-17-Z_curtailable
G,86981.27626816908,kW,Dhanmondi,2026-06-14,18,09:00,(17),DEC-DHN-2026-06-14-18-G
B_ch,0.0,kW,Dhanmondi,2026-06-14,18,09:00,(17),DEC-DHN-2026-06-14-18-B_ch
B_dis,10000.0,kW,Dhanmondi,2026-06-14,18,09:00,(17),DEC-DHN-2026-06-14-18-B_dis
T_out,0.0,kW,Dhanmondi,2026-06-14,18,09:00,(17),DEC-DHN-2026-06-14-18-T_out
T_in,0.0,kW,Dhanmondi,2026-06-14,18,09:00,(17),DEC-DHN-2026-06-14-18-T_in
nu,0.0,kWh,Dhanmondi,2026-06-14,18,09:00,(17),DEC-DHN-2026-06-14-18-nu
Z_critical,0.0,kW,Dhanmondi,2026-06-14,18,09:00,(17),DEC-DHN-2026-06-14-18-Z_critical
Z_shiftable,0.0,kW,Dhanmondi,2026-06-14,18,09:00,(17),DEC-DHN-2026-06-14-18-Z_shiftable
Z_curtailable,0.0,kW,Dhanmondi,2026-06-14,18,09:00,(17),DEC-DHN-2026-06-14-18-Z_curtailable
G,99887.4662894973,kW,Dhanmondi,2026-06-14,19,09:30,(17),DEC-DHN-2026-06-14-19-G
B_ch,0.0,kW,Dhanmondi,2026-06-14,19,09:30,(17),DEC-DHN-2026-06-14-19-B_ch
B_dis,0.0,kW,Dhanmondi,2026-06-14,19,09:30,(17),DEC-DHN-2026-06-14-19-B_dis
T_out,0.0,kW,Dhanmondi,2026-06-14,19,09:30,(17),DEC-DHN-2026-06-14-19-T_out
T_in,0.0,kW,Dhanmondi,2026-06-14,19,09:30,(17),DEC-DHN-2026-06-14-19-T_in
nu,0.0,kWh,Dhanmondi,2026-06-14,19,09:30,(17),DEC-DHN-2026-06-14-19-nu
Z_critical,0.0,kW,Dhanmondi,2026-06-14,19,09:30,(17),DEC-DHN-2026-06-14-19-Z_critical
Z_shiftable,0.0,kW,Dhanmondi,2026-06-14,19,09:30,(17),DEC-DHN-2026-06-14-19-Z_shiftable
Z_curtailable,0.0,kW,Dhanmondi,2026-06-14,19,09:30,(17),DEC-DHN-2026-06-14-19-Z_curtailable
G,96382.09681819938,kW,Dhanmondi,2026-06-14,20,10:00,(17),DEC-DHN-2026-06-14-20-G
B_ch,0.0,kW,Dhanmondi,2026-06-14,20,10:00,(17),DEC-DHN-2026-06-14-20-B_ch
B_dis,0.0,kW,Dhanmondi,2026-06-14,20,10:00,(17),DEC-DHN-2026-06-14-20-B_dis
T_out,0.0,kW,Dhanmondi,2026-06-14,20,10:00,(17),DEC-DHN-2026-06-14-20-T_out
T_in,0.0,kW,Dhanmondi,2026-06-14,20,10:00,(17),DEC-DHN-2026-06-14-20-T_in
nu,0.0,kWh,Dhanmondi,2026-06-14,20,10:00,(17),DEC-DHN-2026-06-14-20-nu
Z_critical,0.0,kW,Dhanmondi,2026-06-14,20,10:00,(17),DEC-DHN-2026-06-14-20-Z_critical
Z_shiftable,0.0,kW,Dhanmondi,2026-06-14,20,10:00,(17),DEC-DHN-2026-06-14-20-Z_shiftable
Z_curtailable,0.0,kW,Dhanmondi,2026-06-14,20,10:00,(17),DEC-DHN-2026-06-14-20-Z_curtailable
G,95672.1449546664,kW,Dhanmondi,2026-06-14,21,10:30,(17),DEC-DHN-2026-06-14-21-G
B_ch,0.0,kW,Dhanmondi,2026-06-14,21,10:30,(17),DEC-DHN-2026-06-14-21-B_ch
B_dis,0.0,kW,Dhanmondi,2026-06-14,21,10:30,(17),DEC-DHN-2026-06-14-21-B_dis
T_out,0.0,kW,Dhanmondi,2026-06-14,21,10:30,(17),DEC-DHN-2026-06-14-21-T_out
T_in,0.0,kW,Dhanmondi,2026-06-14,21,10:30,(17),DEC-DHN-2026-06-14-21-T_in
nu,0.0,kWh,Dhanmondi,2026-06-14,21,10:30,(17),DEC-DHN-2026-06-14-21-nu
Z_critical,0.0,kW,Dhanmondi,2026-06-14,21,10:30,(17),DEC-DHN-2026-06-14-21-Z_critical
Z_shiftable,0.0,kW,Dhanmondi,2026-06-14,21,10:30,(17),DEC-DHN-2026-06-14-21-Z_shiftable
Z_curtailable,0.0,kW,Dhanmondi,2026-06-14,21,10:30,(17),DEC-DHN-2026-06-14-21-Z_curtailable
G,100688.58074904558,kW,Dhanmondi,2026-06-14,22,11:00,(17),DEC-DHN-2026-06-14-22-G
B_ch,0.0,kW,Dhanmondi,2026-06-14,22,11:00,(17),DEC-DHN-2026-06-14-22-B_ch
B_dis,0.0,kW,Dhanmondi,2026-06-14,22,11:00,(17),DEC-DHN-2026-06-14-22-B_dis
T_out,0.0,kW,Dhanmondi,2026-06-14,22,11:00,(17),DEC-DHN-2026-06-14-22-T_out
T_in,0.0,kW,Dhanmondi,2026-06-14,22,11:00,(17),DEC-DHN-2026-06-14-22-T_in
nu,0.0,kWh,Dhanmondi,2026-06-14,22,11:00,(17),DEC-DHN-2026-06-14-22-nu
Z_critical,0.0,kW,Dhanmondi,2026-06-14,22,11:00,(17),DEC-DHN-2026-06-14-22-Z_critical
Z_shiftable,0.0,kW,Dhanmondi,2026-06-14,22,11:00,(17),DEC-DHN-2026-06-14-22-Z_shiftable
Z_curtailable,0.0,kW,Dhanmondi,2026-06-14,22,11:00,(17),DEC-DHN-2026-06-14-22-Z_curtailable
G,106668.49471178131,kW,Dhanmondi,2026-06-14,23,11:30,(17),DEC-DHN-2026-06-14-23-G
